+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION      | CVE DESCRIPTION                                 |
|            |                         |                          |                      | to directory traversal (CVE-2018-10897) For     |
|            |                         |                          |                      | more details about the security issue(s),       |
|            |                         |                          |                      | including the impact, a CVSS score, and         |
|            |                         |                          |                      | other related information, refer to the         |
|            |                         |                          |                      | CVE page(s) listed in the References            |
|            |                         |                          |                      | section. Red Hat would like to thank Jay        |
|            |                         |                          |                      | Grizzard (Clover Network) and Aaron Levy        |
|            |                         |                          |                      | (Clover Network) for reporting this issue.      |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2018:2285 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0710     | python                   | 2.7.5-34.el7         | Python is an interpreted, interactive,          |
|            |                         |                          |                      | object-oriented programming language, which     |
|            |                         |                          |                      | includes modules, classes, exceptions, very     |
|            |                         |                          |                      | high level dynamic data types and dynamic       |
|            |                         |                          |                      | typing. Python supports interfaces to           |
|            |                         |                          |                      | many system calls and libraries, as well        |
|            |                         |                          |                      | as to various windowing systems. Security       |
|            |                         |                          |                      | Fix(es): * python: Information Disclosure       |
|            |                         |                          |                      | due to urlsplit improper NFKC normalization     |
|            |                         |                          |                      | (CVE-2019-9636) For more details about the      |
|            |                         |                          |                      | security issue(s), including the impact,        |
|            |                         |                          |                      | a CVSS score, acknowledgments, and other        |
|            |                         |                          |                      | related information, refer to the CVE           |
|            |                         |                          |                      | page(s) listed in the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0710 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0049     | systemd-libs             | 219-19.el7_2.9       | The systemd packages contain systemd, a system  |
|            |                         |                          |                      | and service manager for Linux, compatible with  |
|            |                         |                          |                      | the SysV and LSB init scripts. It provides      |
|            |                         |                          |                      | aggressive parallelism capabilities, uses       |
|            |                         |                          |                      | socket and D-Bus activation for starting        |
|            |                         |                          |                      | services, offers on-demand starting of daemons, |
|            |                         |                          |                      | and keeps track of processes using Linux        |
|            |                         |                          |                      | cgroups. In addition, it supports snapshotting  |
|            |                         |                          |                      | and restoring of the system state, maintains    |
|            |                         |                          |                      | mount and automount points, and implements      |
|            |                         |                          |                      | an elaborate transactional dependency-based     |
|            |                         |                          |                      | service control logic. It can also work as      |
|            |                         |                          |                      | a drop-in replacement for sysvinit. Security    |
|            |                         |                          |                      | Fix(es): * systemd: Out-of-bounds heap write    |
|            |                         |                          |                      | in systemd-networkd dhcpv6 option handling      |
|            |                         |                          |                      | (CVE-2018-15688) * systemd: stack overflow      |
|            |                         |                          |                      | when calling syslog from a command with long    |
|            |                         |                          |                      | cmdline (CVE-2018-16864) * systemd: stack       |
|            |                         |                          |                      | overflow when receiving many journald entries   |
|            |                         |                          |                      | (CVE-2018-16865) For more details about the     |
|            |                         |                          |                      | security issue(s), including the impact, a      |
|            |                         |                          |                      | CVSS score, and other related information,      |
|            |                         |                          |                      | refer to the CVE page(s) listed in the          |
|            |                         |                          |                      | References section. Red Hat would like to       |
|            |                         |                          |                      | thank Ubuntu Security Team for reporting        |
|            |                         |                          |                      | CVE-2018-15688 and Qualys Research Labs for     |
|            |                         |                          |                      | reporting CVE-2018-16864 and CVE-2018-16865.    |
|            |                         |                          |                      | Upstream acknowledges Felix Wilhelm (Google)    |
|            |                         |                          |                      | as the original reporter of CVE-2018-15688.     |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0049 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0368     | systemd-libs             | 219-19.el7_2.9       | The systemd packages contain systemd, a system  |
|            |                         |                          |                      | and service manager for Linux, compatible with  |
|            |                         |                          |                      | the SysV and LSB init scripts. It provides      |
|            |                         |                          |                      | aggressive parallelism capabilities, uses       |
|            |                         |                          |                      | socket and D-Bus activation for starting        |
|            |                         |                          |                      | services, offers on-demand starting of daemons, |
|            |                         |                          |                      | and keeps track of processes using Linux        |
|            |                         |                          |                      | cgroups. In addition, it supports snapshotting  |
|            |                         |                          |                      | and restoring of the system state, maintains    |
|            |                         |                          |                      | mount and automount points, and implements      |
|            |                         |                          |                      | an elaborate transactional dependency-based     |
|            |                         |                          |                      | service control logic. It can also work as      |
|            |                         |                          |                      | a drop-in replacement for sysvinit. Security    |
|            |                         |                          |                      | Fix(es): * systemd: Insufficient input          |
|            |                         |                          |                      | validation in bus_process_object() resulting    |
|            |                         |                          |                      | in PID 1 crash (CVE-2019-6454) For more details |
|            |                         |                          |                      | about the security issue(s), including the      |
|            |                         |                          |                      | impact, a CVSS score, acknowledgments, and      |
|            |                         |                          |                      | other related information, refer to the CVE     |
|            |                         |                          |                      | page(s) listed in the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0368 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0049     | systemd                  | 219-19.el7_2.9       | The systemd packages contain systemd, a system  |
|            |                         |                          |                      | and service manager for Linux, compatible with  |
|            |                         |                          |                      | the SysV and LSB init scripts. It provides      |
|            |                         |                          |                      | aggressive parallelism capabilities, uses       |
|            |                         |                          |                      | socket and D-Bus activation for starting        |
|            |                         |                          |                      | services, offers on-demand starting of daemons, |
|            |                         |                          |                      | and keeps track of processes using Linux        |
|            |                         |                          |                      | cgroups. In addition, it supports snapshotting  |
|            |                         |                          |                      | and restoring of the system state, maintains    |
|            |                         |                          |                      | mount and automount points, and implements      |
|            |                         |                          |                      | an elaborate transactional dependency-based     |
|            |                         |                          |                      | service control logic. It can also work as      |
|            |                         |                          |                      | a drop-in replacement for sysvinit. Security    |
|            |                         |                          |                      | Fix(es): * systemd: Out-of-bounds heap write    |
|            |                         |                          |                      | in systemd-networkd dhcpv6 option handling      |
|            |                         |                          |                      | (CVE-2018-15688) * systemd: stack overflow      |
|            |                         |                          |                      | when calling syslog from a command with long    |
|            |                         |                          |                      | cmdline (CVE-2018-16864) * systemd: stack       |
|            |                         |                          |                      | overflow when receiving many journald entries   |
|            |                         |                          |                      | (CVE-2018-16865) For more details about the     |
|            |                         |                          |                      | security issue(s), including the impact, a      |
|            |                         |                          |                      | CVSS score, and other related information,      |
|            |                         |                          |                      | refer to the CVE page(s) listed in the          |
|            |                         |                          |                      | References section. Red Hat would like to       |
|            |                         |                          |                      | thank Ubuntu Security Team for reporting        |
|            |                         |                          |                      | CVE-2018-15688 and Qualys Research Labs for     |
|            |                         |                          |                      | reporting CVE-2018-16864 and CVE-2018-16865.    |
|            |                         |                          |                      | Upstream acknowledges Felix Wilhelm (Google)    |
|            |                         |                          |                      | as the original reporter of CVE-2018-15688.     |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0049 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:1587     | python-libs              | 2.7.5-34.el7         | Python is an interpreted, interactive,          |
|            |                         |                          |                      | object-oriented programming language, which     |
|            |                         |                          |                      | includes modules, classes, exceptions, very     |
|            |                         |                          |                      | high level dynamic data types and dynamic       |
|            |                         |                          |                      | typing. Python supports interfaces to many      |
|            |                         |                          |                      | system calls and libraries, as well as to       |
|            |                         |                          |                      | various windowing systems. Security Fix(es):    |
|            |                         |                          |                      | * python: regression of CVE-2019-9636 due       |
|            |                         |                          |                      | to functional fix to allow port numbers in      |
|            |                         |                          |                      | netloc (CVE-2019-10160) For more details        |
|            |                         |                          |                      | about the security issue(s), including the      |
|            |                         |                          |                      | impact, a CVSS score, acknowledgments, and      |
|            |                         |                          |                      | other related information, refer to the CVE     |
|            |                         |                          |                      | page(s) listed in the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:1587 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0368     | systemd                  | 219-19.el7_2.9       | The systemd packages contain systemd, a system  |
|            |                         |                          |                      | and service manager for Linux, compatible with  |
|            |                         |                          |                      | the SysV and LSB init scripts. It provides      |
|            |                         |                          |                      | aggressive parallelism capabilities, uses       |
|            |                         |                          |                      | socket and D-Bus activation for starting        |
|            |                         |                          |                      | services, offers on-demand starting of daemons, |
|            |                         |                          |                      | and keeps track of processes using Linux        |
|            |                         |                          |                      | cgroups. In addition, it supports snapshotting  |
|            |                         |                          |                      | and restoring of the system state, maintains    |
|            |                         |                          |                      | mount and automount points, and implements      |
|            |                         |                          |                      | an elaborate transactional dependency-based     |
|            |                         |                          |                      | service control logic. It can also work as      |
|            |                         |                          |                      | a drop-in replacement for sysvinit. Security    |
|            |                         |                          |                      | Fix(es): * systemd: Insufficient input          |
|            |                         |                          |                      | validation in bus_process_object() resulting    |
|            |                         |                          |                      | in PID 1 crash (CVE-2019-6454) For more details |
|            |                         |                          |                      | about the security issue(s), including the      |
|            |                         |                          |                      | impact, a CVSS score, acknowledgments, and      |
|            |                         |                          |                      | other related information, refer to the CVE     |
|            |                         |                          |                      | page(s) listed in the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:0368 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2285     | yum-plugin-fastestmirror | 1.1.31-34.el7        | The yum-utils packages provide a collection     |
|            |                         |                          |                      | of utilities and examples for the yum package   |
|            |                         |                          |                      | manager to make yum easier and more powerful    |
|            |                         |                          |                      | to use. Security Fix(es): * yum-utils:          |
|            |                         |                          |                      | reposync: improper path validation may lead     |
|            |                         |                          |                      | to directory traversal (CVE-2018-10897) For     |
|            |                         |                          |                      | more details about the security issue(s),       |
|            |                         |                          |                      | including the impact, a CVSS score, and         |
|            |                         |                          |                      | other related information, refer to the         |
|            |                         |                          |                      | CVE page(s) listed in the References            |
|            |                         |                          |                      | section. Red Hat would like to thank Jay        |
|            |                         |                          |                      | Grizzard (Clover Network) and Aaron Levy        |
|            |                         |                          |                      | (Clover Network) for reporting this issue.      |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2018:2285 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2237   | nss                      | 3.21.0-9.el7_2       | Network Security Services (NSS) is a            |
|            |                         |                          |                      | set of libraries designed to support the        |
|            |                         |                          |                      | cross-platform development of security-enabled  |
|            |                         |                          |                      | client and server applications. Netscape        |
|            |                         |                          |                      | Portable Runtime (NSPR) provides platform       |
|            |                         |                          |                      | independence for non-GUI operating system       |
|            |                         |                          |                      | facilities. The following packages have been    |
|            |                         |                          |                      | upgraded to a later upstream version: nss       |
|            |                         |                          |                      | (3.44.0), nss-softokn (3.44.0), nss-util        |
|            |                         |                          |                      | (3.44.0), nspr (4.21.0). (BZ#1645231,           |
|            |                         |                          |                      | BZ#1692269, BZ#1692271, BZ#1692274) Security    |
|            |                         |                          |                      | Fix(es): * ROHNP: Key Extraction Side Channel   |
|            |                         |                          |                      | in Multiple Crypto Libraries (CVE-2018-0495)    |
|            |                         |                          |                      | * nss: Cache side-channel variant of the        |
|            |                         |                          |                      | Bleichenbacher attack (CVE-2018-12404) For more |
|            |                         |                          |                      | details about the security issue(s), including  |
|            |                         |                          |                      | the impact, a CVSS score, acknowledgments,      |
|            |                         |                          |                      | and other related information, refer to         |
|            |                         |                          |                      | the CVE page(s) listed in the References        |
|            |                         |                          |                      | section. Additional Changes: For detailed       |
|            |                         |                          |                      | information on changes in this release, see     |
|            |                         |                          |                      | the Red Hat Enterprise Linux 7.7 Release        |
|            |                         |                          |                      | Notes linked from the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:1884   | libssh2                  | 1.4.3-10.el7_2.1     | The libssh2 packages provide a library that     |
|            |                         |                          |                      | implements the SSH2 protocol. Security Fix(es): |
|            |                         |                          |                      | * libssh2: Out-of-bounds memory comparison      |
|            |                         |                          |                      | with specially crafted message channel          |
|            |                         |                          |                      | request (CVE-2019-3862) For more details        |
|            |                         |                          |                      | about the security issue(s), including the      |
|            |                         |                          |                      | impact, a CVSS score, acknowledgments, and      |
|            |                         |                          |                      | other related information, refer to the CVE     |
|            |                         |                          |                      | page(s) listed in the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:1884 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2136   | libssh2                  | 1.4.3-10.el7_2.1     | The libssh2 packages provide a library that     |
|            |                         |                          |                      | implements the SSH2 protocol. The following     |
|            |                         |                          |                      | packages have been upgraded to a later upstream |
|            |                         |                          |                      | version: libssh2 (1.8.0). (BZ#1592784) Security |
|            |                         |                          |                      | Fix(es): * libssh2: Zero-byte allocation        |
|            |                         |                          |                      | with a specially crafted SFTP packed leading    |
|            |                         |                          |                      | to an out-of-bounds read (CVE-2019-3858) *      |
|            |                         |                          |                      | libssh2: Out-of-bounds reads with specially     |
|            |                         |                          |                      | crafted SSH packets (CVE-2019-3861) For more    |
|            |                         |                          |                      | details about the security issue(s), including  |
|            |                         |                          |                      | the impact, a CVSS score, acknowledgments,      |
|            |                         |                          |                      | and other related information, refer to         |
|            |                         |                          |                      | the CVE page(s) listed in the References        |
|            |                         |                          |                      | section. Additional Changes: For detailed       |
|            |                         |                          |                      | information on changes in this release, see     |
|            |                         |                          |                      | the Red Hat Enterprise Linux 7.7 Release        |
|            |                         |                          |                      | Notes linked from the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2019:2136 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3140   | gobject-introspection    | 1.42.0-1.el7         | GNOME is the default desktop                    |
|            |                         |                          |                      | environment of Red Hat Enterprise Linux.        |
|            |                         |                          |                      | Security Fix(es): * libsoup: Crash              |
|            |                         |                          |                      | in soup_cookie_jar.c:get_cookies()              |
|            |                         |                          |                      | on empty hostnames (CVE-2018-12910)             |
|            |                         |                          |                      | * poppler: Infinite recursion in                |
|            |                         |                          |                      | fofi/FoFiType1C.cc:FoFiType1C::cvtGlyph()       |
|            |                         |                          |                      | function allows denial of service               |
|            |                         |                          |                      | (CVE-2017-18267) * libgxps: heap based buffer   |
|            |                         |                          |                      | over read in ft_font_face_hash function of      |
|            |                         |                          |                      | gxps-fonts.c (CVE-2018-10733) * libgxps:        |
|            |                         |                          |                      | Stack-based buffer overflow in calling          |
|            |                         |                          |                      | glib in gxps_images_guess_content_type          |
|            |                         |                          |                      | of gcontenttype.c (CVE-2018-10767) *            |
|            |                         |                          |                      | poppler: NULL pointer dereference in            |
|            |                         |                          |                      | Annot.h:AnnotPath::getCoordsLength() allows     |
|            |                         |                          |                      | for denial of service via crafted PDF           |
|            |                         |                          |                      | (CVE-2018-10768) * poppler: out of bounds       |
|            |                         |                          |                      | read in pdfunite (CVE-2018-13988) For more      |
|            |                         |                          |                      | details about the security issue(s), including  |
|            |                         |                          |                      | the impact, a CVSS score, and other related     |
|            |                         |                          |                      | information, refer to the CVE page(s) listed    |
|            |                         |                          |                      | in the References section. Red Hat would like   |
|            |                         |                          |                      | to thank chenyuan (NESA Lab) for reporting      |
|            |                         |                          |                      | CVE-2018-10733 and CVE-2018-10767 and           |
|            |                         |                          |                      | Hosein Askari for reporting CVE-2018-13988.     |
|            |                         |                          |                      | Additional Changes: For detailed information    |
|            |                         |                          |                      | on changes in this release, see the Red         |
|            |                         |                          |                      | Hat Enterprise Linux 7.6 Release Notes          |
|            |                         |                          |                      | linked from the References section.             |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2018:3140 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:0260   | systemd                  | 219-19.el7_2.9       | The systemd packages contain systemd, a system  |
|            |                         |                          |                      | and service manager for Linux, compatible with  |
|            |                         |                          |                      | the SysV and LSB init scripts. It provides      |
|            |                         |                          |                      | aggressive parallelism capabilities, uses       |
|            |                         |                          |                      | socket and D-Bus activation for starting        |
|            |                         |                          |                      | services, offers on-demand starting of          |
|            |                         |                          |                      | daemons, and keeps track of processes using     |
|            |                         |                          |                      | Linux cgroups. In addition, it supports         |
|            |                         |                          |                      | snapshotting and restoring of the system        |
|            |                         |                          |                      | state, maintains mount and automount points,    |
|            |                         |                          |                      | and implements an elaborate transactional       |
|            |                         |                          |                      | dependency-based service control logic.         |
|            |                         |                          |                      | It can also work as a drop-in replacement       |
|            |                         |                          |                      | for sysvinit. Security Fix(es): * A race        |
|            |                         |                          |                      | condition was found in systemd. This could      |
|            |                         |                          |                      | result in automount requests not being          |
|            |                         |                          |                      | serviced and processes using them could hang,   |
|            |                         |                          |                      | causing denial of service. (CVE-2018-1049)      |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2018:0260 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2017:1868   | python                   | 2.7.5-34.el7         | Python is an interpreted, interactive,          |
|            |                         |                          |                      | object-oriented programming language, which     |
|            |                         |                          |                      | includes modules, classes, exceptions, very     |
|            |                         |                          |                      | high level dynamic data types and dynamic       |
|            |                         |                          |                      | typing. Python supports interfaces to           |
|            |                         |                          |                      | many system calls and libraries, as well        |
|            |                         |                          |                      | as to various windowing systems. Security       |
|            |                         |                          |                      | Fix(es): * The Python standard library HTTP     |
|            |                         |                          |                      | client modules (such as httplib or urllib)      |
|            |                         |                          |                      | did not perform verification of TLS/SSL         |
|            |                         |                          |                      | certificates when connecting to HTTPS servers.  |
|            |                         |                          |                      | A man-in-the-middle attacker could use this     |
|            |                         |                          |                      | flaw to hijack connections and eavesdrop        |
|            |                         |                          |                      | or modify transferred data. (CVE-2014-9365)     |
|            |                         |                          |                      | Note: The Python standard library was           |
|            |                         |                          |                      | updated to enable certificate verification by   |
|            |                         |                          |                      | default. Refer to the Knowledgebase article     |
|            |                         |                          |                      | 2039753 linked to in the References section     |
|            |                         |                          |                      | for further details about this change.          |
|            |                         |                          |                      | (BZ#1219110) Additional Changes: For detailed   |
|            |                         |                          |                      | information on changes in this release, see     |
|            |                         |                          |                      | the Red Hat Enterprise Linux 7.4 Release        |
|            |                         |                          |                      | Notes linked from the References section.       |
|            |                         |                          |                      | https://access.redhat.com/errata/RHSA-2017:1868 |
+------------+-------------------------+--------------------------+----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2030   | python-libs              | 2.7.5-34.el7         | Python is an interpreted, interactive,          |
|            |                         |                          |                      | object-oriented programming language, which     |
|            |                         |                          |                      | includes modules, classes, exceptions,          |
|            |                         |                          |                      | very high level dynamic data types and          |
|            |                         |                          |                      | dynamic typing. Python supports interfaces      |
|            |                         |                          |                      | to many system calls and libraries, as          |
|            |                         |                          |                      | well as to various windowing systems.           |
|            |                         |                          |                      | Security Fix(es): * python: Missing salt        |
|            |                         |                          |                      | initialization in _elementtree.c module         |
|            |                         |                          |                      | (CVE-2018-14647) * python: NULL pointer         |
|            |                         |                          |                      | dereference using a specially crafted           |
|            |                         |                          |                      | X509 certificate (CVE-2019-5010) * python:      |
|            |                         |                          |                      | CRLF injection via the query part of the        |
|            |                         |                          |                      | url passed to urlopen() (CVE-2019-9740) *       |
|            |                         |                          |                      | python: CRLF injection via the path part of     |
|            |                         |                          |                      | the url passed to urlopen() (CVE-2019-9947)     |
|            |                         |                          |                      | * python: Undocumented local_file protocol      |
|            |                         |                          |                      | allows remote attackers to bypass protection    |
|            |                         |                          |                      | mechanisms (CVE-2019-9948) For more details     |
|            |                         |                          |                      | about the security issue(s), including          |
|            |                         |                          |                      | the impact, a CVSS score, acknowledgments,      |
|            |                         |                          |                      | and other related information, refer to         |
|            |                         |                          |                      | the CVE page(s) listed in the References        |
|            |                         |                          |                      | section. Additional Changes: For detailed       |
