+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION        | CVE DESCRIPTION                                            |
|            |                         |                          |                        | Important) * Two flaws were found in the way               |
|            |                         |                          |                        | the Linux kernel's networking implementation               |
|            |                         |                          |                        | handled UDP packets with incorrect checksum                |
|            |                         |                          |                        | values. A remote attacker could potentially                |
|            |                         |                          |                        | use these flaws to trigger an infinite loop in             |
|            |                         |                          |                        | the kernel, resulting in a denial of service               |
|            |                         |                          |                        | on the system, or cause a denial of service                |
|            |                         |                          |                        | in applications using the edge triggered epoll             |
|            |                         |                          |                        | functionality. (CVE-2015-5364, CVE-2015-5366,              |
|            |                         |                          |                        | Important) * A flaw was found in the way                   |
|            |                         |                          |                        | the Linux kernel's ext4 file system handled                |
|            |                         |                          |                        | the "page size > block size" condition when                |
|            |                         |                          |                        | the fallocate zero range functionality was                 |
|            |                         |                          |                        | used. A local attacker could use this flaw to              |
|            |                         |                          |                        | crash the system. (CVE-2015-0275, Moderate)                |
|            |                         |                          |                        | * It was found that the Linux kernel's                     |
|            |                         |                          |                        | keyring implementation would leak memory when              |
|            |                         |                          |                        | adding a key to a keyring via the add_key()                |
|            |                         |                          |                        | function. A local attacker could use this                  |
|            |                         |                          |                        | flaw to exhaust all available memory on the                |
|            |                         |                          |                        | system. (CVE-2015-1333, Moderate) * A race                 |
|            |                         |                          |                        | condition flaw was found in the way the                    |
|            |                         |                          |                        | Linux kernel's SCTP implementation handled                 |
|            |                         |                          |                        | Address Configuration lists when performing                |
|            |                         |                          |                        | Address Configuration Change (ASCONF). A                   |
|            |                         |                          |                        | local attacker could use this flaw to crash                |
|            |                         |                          |                        | the system via a race condition triggered by               |
|            |                         |                          |                        | setting certain ASCONF options on a socket.                |
|            |                         |                          |                        | (CVE-2015-3212, Moderate) * An information                 |
|            |                         |                          |                        | leak flaw was found in the way the Linux                   |
|            |                         |                          |                        | kernel's Virtual Dynamic Shared Object (vDSO)              |
|            |                         |                          |                        | implementation performed address randomization.            |
|            |                         |                          |                        | A local, unprivileged user could use this                  |
|            |                         |                          |                        | flaw to leak kernel memory addresses to                    |
|            |                         |                          |                        | user-space. (CVE-2014-9585, Low) Red Hat would             |
|            |                         |                          |                        | like to thank Daniel Borkmann for reporting                |
|            |                         |                          |                        | CVE-2015-4700, and Canonical for reporting the             |
|            |                         |                          |                        | CVE-2015-1333 issue. The CVE-2015-0275 issue               |
|            |                         |                          |                        | was discovered by Xiong Zhou of Red Hat, and               |
|            |                         |                          |                        | the CVE-2015-3212 issue was discovered by Ji               |
|            |                         |                          |                        | Jianwen of Red Hat Engineering. This update                |
|            |                         |                          |                        | also fixes several bugs. Refer to the following            |
|            |                         |                          |                        | Knowledgebase article for further information:             |
|            |                         |                          |                        | https://access.redhat.com/articles/1614563                 |
|            |                         |                          |                        | All kernel users are advised to upgrade                    |
|            |                         |                          |                        | to these updated packages, which contain                   |
|            |                         |                          |                        | backported patches to correct these                        |
|            |                         |                          |                        | issues. The system must be rebooted                        |
|            |                         |                          |                        | for this update to take effect.                            |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2015:1778            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:0086     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux                      |
|            |                         |                          |                        | kernel, the core of any Linux operating                    |
|            |                         |                          |                        | system. These updated kernel packages include              |
|            |                         |                          |                        | several security issues and numerous bug                   |
|            |                         |                          |                        | fixes, some of which you can see below.                    |
|            |                         |                          |                        | Space precludes documenting all of these                   |
|            |                         |                          |                        | bug fixes in this advisory. To see the                     |
|            |                         |                          |                        | complete list of bug fixes, users are                      |
|            |                         |                          |                        | directed to the related Knowledge Article:                 |
|            |                         |                          |                        | https://access.redhat.com/articles/2857831.                |
|            |                         |                          |                        | Security Fix(es): * A use-after-free                       |
|            |                         |                          |                        | vulnerability was found in the kernel's                    |
|            |                         |                          |                        | socket recvmmsg subsystem. This may allow                  |
|            |                         |                          |                        | remote attackers to corrupt memory and may                 |
|            |                         |                          |                        | allow execution of arbitrary code. This                    |
|            |                         |                          |                        | corruption takes place during the error                    |
|            |                         |                          |                        | handling routines within __sys_recvmmsg()                  |
|            |                         |                          |                        | function. (CVE-2016-7117, Important) *                     |
|            |                         |                          |                        | A use-after-free vulnerability was found                   |
|            |                         |                          |                        | in tcp_xmit_retransmit_queue and other                     |
|            |                         |                          |                        | tcp_* functions. This condition could                      |
|            |                         |                          |                        | allow an attacker to send an incorrect                     |
|            |                         |                          |                        | selective acknowledgment to existing                       |
|            |                         |                          |                        | connections, possibly resetting a connection.              |
|            |                         |                          |                        | (CVE-2016-6828, Moderate) * A flaw was found               |
|            |                         |                          |                        | in the Linux kernel's implementation of the                |
|            |                         |                          |                        | SCTP protocol. A remote attacker could trigger             |
|            |                         |                          |                        | an out-of-bounds read with an offset of up                 |
|            |                         |                          |                        | to 64kB potentially causing the system to                  |
|            |                         |                          |                        | crash. (CVE-2016-9555, Moderate) Bug Fix(es):              |
|            |                         |                          |                        | * Previously, the performance of Internet                  |
|            |                         |                          |                        | Protocol over InfiniBand (IPoIB) was suboptimal            |
|            |                         |                          |                        | due to a conflict of IPoIB with the Generic                |
|            |                         |                          |                        | Receive Offload (GRO) infrastructure. With                 |
|            |                         |                          |                        | this update, the data cached by the IPoIB                  |
|            |                         |                          |                        | driver has been moved from a control block into            |
|            |                         |                          |                        | the IPoIB hard header, thus avoiding the GRO               |
|            |                         |                          |                        | problem and the corruption of IPoIB address                |
|            |                         |                          |                        | information. As a result, the performance                  |
|            |                         |                          |                        | of IPoIB has been improved. (BZ#1390668) *                 |
|            |                         |                          |                        | Previously, when a virtual machine (VM) with               |
|            |                         |                          |                        | PCI-Passthrough interfaces was recreated,                  |
|            |                         |                          |                        | a race condition between the eventfd daemon                |
|            |                         |                          |                        | and the virqfd daemon occurred. Consequently,              |
|            |                         |                          |                        | the operating system rebooted. This update                 |
|            |                         |                          |                        | fixes the race condition. As a result, the                 |
|            |                         |                          |                        | operating system no longer reboots in the                  |
|            |                         |                          |                        | described situation. (BZ#1391611) * Previously,            |
|            |                         |                          |                        | a packet loss occurred when the team driver                |
|            |                         |                          |                        | in round-robin mode was sending a large number             |
|            |                         |                          |                        | of packets. This update fixes counting of the              |
|            |                         |                          |                        | packets in the round-robin runner of the team              |
|            |                         |                          |                        | driver, and the packet loss no longer occurs               |
|            |                         |                          |                        | in the described situation. (BZ#1392023)                   |
|            |                         |                          |                        | * Previously, the virtual network devices                  |
|            |                         |                          |                        | contained in the deleted namespace could                   |
|            |                         |                          |                        | be deleted in any order. If the loopback                   |
|            |                         |                          |                        | device was not deleted as the last item,                   |
|            |                         |                          |                        | other netns devices, such as vxlan devices,                |
|            |                         |                          |                        | could end up with dangling references to                   |
|            |                         |                          |                        | the loopback device. Consequently, deleting                |
|            |                         |                          |                        | a network namespace (netns) occasionally                   |
|            |                         |                          |                        | ended by a kernel oops. With this update,                  |
|            |                         |                          |                        | the underlying source code has been fixed to               |
|            |                         |                          |                        | ensure the correct order when deleting the                 |
|            |                         |                          |                        | virtual network devices on netns deletion. As a            |
|            |                         |                          |                        | result, the kernel oops no longer occurs under             |
|            |                         |                          |                        | the described circumstances. (BZ#1392024) *                |
|            |                         |                          |                        | Previously, a Kabylake system with a Sunrise               |
|            |                         |                          |                        | Point Platform Controller Hub (PCH) with a                 |
|            |                         |                          |                        | PCI device ID of 0xA149 showed the following               |
|            |                         |                          |                        | warning messages during the boot:     "Unknown             |
|            |                         |                          |                        | Intel PCH (0xa149) detected."     "Warning:                |
|            |                         |                          |                        | Intel Kabylake processor with unknown PCH -                |
|            |                         |                          |                        | this hardware has not undergone testing by                 |
|            |                         |                          |                        | Red Hat and might not be certified. Please                 |
|            |                         |                          |                        | consult https://hardware.redhat.com for                    |
|            |                         |                          |                        | certified hardware." The messages were shown               |
|            |                         |                          |                        | because this PCH was not properly recognized.              |
|            |                         |                          |                        | With this update, the problem has been fixed,              |
|            |                         |                          |                        | and the operating system now boots without                 |
|            |                         |                          |                        | displaying the warning messages. (BZ#1392033)              |
|            |                         |                          |                        | * Previously, the operating system occasionally            |
|            |                         |                          |                        | became unresponsive after a long run. This                 |
|            |                         |                          |                        | was caused by a race condition between                     |
|            |                         |                          |                        | the try_to_wake_up() function and a woken                  |
|            |                         |                          |                        | up task in the core scheduler. With this                   |
|            |                         |                          |                        | update, the race condition has been fixed,                 |
|            |                         |                          |                        | and the operating system no longer locks                   |
|            |                         |                          |                        | up in the described scenario. (BZ#1393719)                 |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:0086            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1318     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                         |                          |                        | the core of any Linux operating system.                    |
|            |                         |                          |                        | Security Fix(es): * Kernel: KVM: error in                  |
|            |                         |                          |                        | exception handling leads to wrong debug stack              |
|            |                         |                          |                        | value (CVE-2018-1087) * Kernel: error in                   |
|            |                         |                          |                        | exception handling leads to DoS (CVE-2018-8897)            |
|            |                         |                          |                        | * Kernel: ipsec: xfrm: use-after-free                      |
|            |                         |                          |                        | leading to potential privilege escalation                  |
|            |                         |                          |                        | (CVE-2017-16939) * kernel: Out-of-bounds write             |
|            |                         |                          |                        | via userland offsets in ebt_entry struct in                |
|            |                         |                          |                        | netfilter/ebtables.c (CVE-2018-1068) * kernel:             |
|            |                         |                          |                        | ptrace() incorrect error handling leads to                 |
|            |                         |                          |                        | corruption and DoS (CVE-2018-1000199) * kernel:            |
|            |                         |                          |                        | guest kernel crash during core dump on POWER9              |
|            |                         |                          |                        | host (CVE-2018-1091) For more details about the            |
|            |                         |                          |                        | security issue(s), including the impact, a CVSS            |
|            |                         |                          |                        | score, and other related information, refer                |
|            |                         |                          |                        | to the CVE page(s) listed in the References                |
|            |                         |                          |                        | section. Red Hat would like to thank Andy                  |
|            |                         |                          |                        | Lutomirski for reporting CVE-2018-1087 and                 |
|            |                         |                          |                        | CVE-2018-1000199 and Nick Peterson (Everdox                |
|            |                         |                          |                        | Tech LLC) and Andy Lutomirski for reporting                |
|            |                         |                          |                        | CVE-2018-8897. Bug Fix(es): These updated                  |
|            |                         |                          |                        | kernel packages include also numerous bug                  |
|            |                         |                          |                        | fixes. Space precludes documenting all of these            |
|            |                         |                          |                        | bug fixes in this advisory. See the bug fix                |
|            |                         |                          |                        | descriptions in the related Knowledge Article:             |
|            |                         |                          |                        | https://access.redhat.com/articles/3431641                 |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:1318            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1967     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel-alt packages provide the Linux                  |
|            |                         |                          |                        | kernel version 4.x. Security Fix(es): * An                 |
|            |                         |                          |                        | industry-wide issue was found in the way                   |
|            |                         |                          |                        | many modern microprocessor designs have                    |
|            |                         |                          |                        | implemented speculative execution of Load &                |
|            |                         |                          |                        | Store instructions (a commonly used performance            |
|            |                         |                          |                        | optimization). It relies on the presence of                |
|            |                         |                          |                        | a precisely-defined instruction sequence in                |
|            |                         |                          |                        | the privileged code as well as the fact that               |
|            |                         |                          |                        | memory read from address to which a recent                 |
|            |                         |                          |                        | memory write has occurred may see an older                 |
|            |                         |                          |                        | value and subsequently cause an update into                |
|            |                         |                          |                        | the microprocessor's data cache even for                   |
|            |                         |                          |                        | speculatively executed instructions that never             |
|            |                         |                          |                        | actually commit (retire). As a result, an                  |
|            |                         |                          |                        | unprivileged attacker could use this flaw to               |
|            |                         |                          |                        | read privileged memory by conducting targeted              |
|            |                         |                          |                        | cache side-channel attacks. (CVE-2018-3639,                |
|            |                         |                          |                        | PowerPC) * This release also includes next                 |
|            |                         |                          |                        | iteration of the CVE-2017-5715 mitigation that             |
|            |                         |                          |                        | includes the SMCCC (Secure Monitor Call Calling            |
|            |                         |                          |                        | Convention) 1.1 support. (CVE-2017-5715, ARM)              |
|            |                         |                          |                        | Red Hat would like to thank Google Project                 |
|            |                         |                          |                        | Zero for reporting CVE-2017-5715 and Ken                   |
|            |                         |                          |                        | Johnson (Microsoft Security Response Center)               |
|            |                         |                          |                        | and Jann Horn (Google Project Zero) for                    |
|            |                         |                          |                        | reporting CVE-2018-3639. Bug Fix(es): These                |
|            |                         |                          |                        | updated kernel-alt packages include numerous               |
|            |                         |                          |                        | bug fixes. Space precludes documenting all                 |
|            |                         |                          |                        | of the bug fixes in this advisory. See the                 |
|            |                         |                          |                        | descriptions in the related Knowledge Article:             |
|            |                         |                          |                        | https://access.redhat.com/articles/3485851                 |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:1967            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:1484     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                         |                          |                        | the core of any Linux operating system.                    |
|            |                         |                          |                        | Security Fix(es): * A flaw was found in the                |
|            |                         |                          |                        | way memory was being allocated on the stack                |
|            |                         |                          |                        | for user space binaries. If heap (or different             |
|            |                         |                          |                        | memory region) and stack memory regions were               |
|            |                         |                          |                        | adjacent to each other, an attacker could use              |
|            |                         |                          |                        | this flaw to jump over the stack guard gap,                |
|            |                         |                          |                        | cause controlled memory corruption on process              |
|            |                         |                          |                        | stack or the adjacent memory region, and thus              |
|            |                         |                          |                        | increase their privileges on the system. This              |
|            |                         |                          |                        | is a kernel-side mitigation which increases                |
|            |                         |                          |                        | the stack guard gap size from one page to 1                |
|            |                         |                          |                        | MiB to make successful exploitation of this                |
|            |                         |                          |                        | issue more difficult. (CVE-2017-1000364,                   |
|            |                         |                          |                        | Important) Red Hat would like to thank Qualys              |
|            |                         |                          |                        | Research Labs for reporting this issue.                    |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2017:1484            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:0502     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel-alt packages provide the Linux                  |
|            |                         |                          |                        | kernel version 4.x. Security Fix(es): * hw:                |
|            |                         |                          |                        | cpu: speculative execution permission faults               |
|            |                         |                          |                        | handling (CVE-2017-5754, Important)(ppc only) *            |
|            |                         |                          |                        | kernel: Race condition in raw_sendmsg function             |
|            |                         |                          |                        | allows denial-of-service or kernel addresses               |
|            |                         |                          |                        | leak (CVE-2017-17712, Important) * kernel:                 |
|            |                         |                          |                        | mm/pagewalk.c:walk_hugetlb_range function                  |
|            |                         |                          |                        | mishandles holes in hugetlb ranges causing                 |
|            |                         |                          |                        | information leak (CVE-2017-16994, Moderate)                |
|            |                         |                          |                        | Bug Fix(es): * When changing the Maximum                   |
|            |                         |                          |                        | Transmission Unit (MTU) size on Broadcom                   |
|            |                         |                          |                        | BCM5717, BCM5718 and BCM5719 chipsets, the                 |
|            |                         |                          |                        | tg3 driver sometimes lost synchronization                  |
|            |                         |                          |                        | with the device. Consequently, the device                  |
|            |                         |                          |                        | became unresponsive. With this update, tg3                 |
|            |                         |                          |                        | has been fixed, and devices no longer hang due             |
|            |                         |                          |                        | to this behavior. (BZ#1533478) * Previously,               |
|            |                         |                          |                        | the perf tool used strict string matching to               |
|            |                         |                          |                        | provide related events to a particular CPUID               |
|            |                         |                          |                        | instruction. Consequently, the events were not             |
|            |                         |                          |                        | available on certain IBM PowerPC systems. This             |
|            |                         |                          |                        | update fixes perf to use regular expressions               |
|            |                         |                          |                        | instead of string matching of the entire                   |
|            |                         |                          |                        | CPUID string. As a result, the perf tool now               |
|            |                         |                          |                        | supports events on IBM PowerPC architectures               |
|            |                         |                          |                        | as expected. (BZ#1536567) * Previously, the                |
|            |                         |                          |                        | kernel debugfs file system implemented removal             |
|            |                         |                          |                        | protection based on sleepable read-copy-update             |
|            |                         |                          |                        | (SRCU), which slowed down the drivers relying              |
|            |                         |                          |                        | on the debugfs_remove_recursive() function.                |
|            |                         |                          |                        | Consequently, a decrease in performance or                 |
|            |                         |                          |                        | a deadlock sometimes occurred. This update                 |
|            |                         |                          |                        | implements per-file removal protection in                  |
|            |                         |                          |                        | debugfs. As a result, the performance of the               |
|            |                         |                          |                        | system has improved significantly. (BZ#1538030)            |
|            |                         |                          |                        | * When running the 'perf test' command on                  |
|            |                         |                          |                        | a PowerKVM guest multiple times, the branch                |
|            |                         |                          |                        | instructions recorded in Branch History Rolling            |
|            |                         |                          |                        | Buffer (BHRB) entries were sometimes unmapped              |
|            |                         |                          |                        | before the kernel processed the entries.                   |
|            |                         |                          |                        | Consequently, the operating system terminated              |
|            |                         |                          |                        | unexpectedly. This update fixes the bug,                   |
|            |                         |                          |                        | and the operating system no longer crashes                 |
|            |                         |                          |                        | in the described situation. (BZ#1538031)                   |
|            |                         |                          |                        | https://access.redhat.com/errata/RHSA-2018:0502            |
+------------+-------------------------+--------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:0185     | kernel-headers           | 3.10.0-229.11.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                         |                          |                        | the core of any Linux operating system. *                  |
|            |                         |                          |                        | It was found that the Linux kernel's keys                  |
|            |                         |                          |                        | subsystem did not correctly garbage collect                |
|            |                         |                          |                        | uninstantiated keyrings. A local attacker                  |
|            |                         |                          |                        | could use this flaw to crash the system or,                |
|            |                         |                          |                        | potentially, escalate their privileges on the              |
|            |                         |                          |                        | system. (CVE-2015-7872, Important) * A flaw                |
|            |                         |                          |                        | was found in the way the Linux kernel handled              |
|            |                         |                          |                        | IRET faults during the processing of NMIs. An              |
|            |                         |                          |                        | unprivileged, local user could use this flaw               |
|            |                         |                          |                        | to crash the system or, potentially (although              |
|            |                         |                          |                        | highly unlikely), escalate their privileges                |
|            |                         |                          |                        | on the system. (CVE-2015-5157, Moderate)                   |
|            |                         |                          |                        | This update also fixes the following bugs:                 |
|            |                         |                          |                        | * Previously, processing packets with a lot                |
|            |                         |                          |                        | of different IPv6 source addresses caused                  |
|            |                         |                          |                        | the kernel to return warnings concerning                   |
|            |                         |                          |                        | soft-lockups due to high lock contention                   |
