+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                            |
|            |                       |                             |                        | modern microprocessor designs have implemented             |
|            |                       |                             |                        | speculative execution of Load & Store instructions         |
|            |                       |                             |                        | (a commonly used performance optimization). It             |
|            |                       |                             |                        | relies on the presence of a precisely-defined              |
|            |                       |                             |                        | instruction sequence in the privileged code as             |
|            |                       |                             |                        | well as the fact that memory read from address             |
|            |                       |                             |                        | to which a recent memory write has occurred may            |
|            |                       |                             |                        | see an older value and subsequently cause an               |
|            |                       |                             |                        | update into the microprocessor's data cache even           |
|            |                       |                             |                        | for speculatively executed instructions that               |
|            |                       |                             |                        | never actually commit (retire). As a result, an            |
|            |                       |                             |                        | unprivileged attacker could use this flaw to read          |
|            |                       |                             |                        | privileged memory by conducting targeted cache             |
|            |                       |                             |                        | side-channel attacks. (CVE-2018-3639, PowerPC)             |
|            |                       |                             |                        | * This release also includes next iteration of             |
|            |                       |                             |                        | the CVE-2017-5715 mitigation that includes the             |
|            |                       |                             |                        | SMCCC (Secure Monitor Call Calling Convention)             |
|            |                       |                             |                        | 1.1 support. (CVE-2017-5715, ARM) Red Hat would            |
|            |                       |                             |                        | like to thank Google Project Zero for reporting            |
|            |                       |                             |                        | CVE-2017-5715 and Ken Johnson (Microsoft Security          |
|            |                       |                             |                        | Response Center) and Jann Horn (Google Project             |
|            |                       |                             |                        | Zero) for reporting CVE-2018-3639. Bug Fix(es):            |
|            |                       |                             |                        | These updated kernel-alt packages include                  |
|            |                       |                             |                        | numerous bug fixes. Space precludes documenting            |
|            |                       |                             |                        | all of the bug fixes in this advisory. See the             |
|            |                       |                             |                        | descriptions in the related Knowledge Article:             |
|            |                       |                             |                        | https://access.redhat.com/articles/3485851                 |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1967            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:0502   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel-alt packages provide the Linux                  |
|            |                       |                             |                        | kernel version 4.x. Security Fix(es): * hw:                |
|            |                       |                             |                        | cpu: speculative execution permission faults               |
|            |                       |                             |                        | handling (CVE-2017-5754, Important)(ppc only) *            |
|            |                       |                             |                        | kernel: Race condition in raw_sendmsg function             |
|            |                       |                             |                        | allows denial-of-service or kernel addresses               |
|            |                       |                             |                        | leak (CVE-2017-17712, Important) * kernel:                 |
|            |                       |                             |                        | mm/pagewalk.c:walk_hugetlb_range function                  |
|            |                       |                             |                        | mishandles holes in hugetlb ranges causing                 |
|            |                       |                             |                        | information leak (CVE-2017-16994, Moderate) Bug            |
|            |                       |                             |                        | Fix(es): * When changing the Maximum Transmission          |
|            |                       |                             |                        | Unit (MTU) size on Broadcom BCM5717, BCM5718 and           |
|            |                       |                             |                        | BCM5719 chipsets, the tg3 driver sometimes lost            |
|            |                       |                             |                        | synchronization with the device. Consequently,             |
|            |                       |                             |                        | the device became unresponsive. With this update,          |
|            |                       |                             |                        | tg3 has been fixed, and devices no longer hang due         |
|            |                       |                             |                        | to this behavior. (BZ#1533478) * Previously, the           |
|            |                       |                             |                        | perf tool used strict string matching to provide           |
|            |                       |                             |                        | related events to a particular CPUID instruction.          |
|            |                       |                             |                        | Consequently, the events were not available on             |
|            |                       |                             |                        | certain IBM PowerPC systems. This update fixes             |
|            |                       |                             |                        | perf to use regular expressions instead of                 |
|            |                       |                             |                        | string matching of the entire CPUID string. As a           |
|            |                       |                             |                        | result, the perf tool now supports events on IBM           |
|            |                       |                             |                        | PowerPC architectures as expected. (BZ#1536567)            |
|            |                       |                             |                        | * Previously, the kernel debugfs file system               |
|            |                       |                             |                        | implemented removal protection based on sleepable          |
|            |                       |                             |                        | read-copy-update (SRCU), which slowed down the             |
|            |                       |                             |                        | drivers relying on the debugfs_remove_recursive()          |
|            |                       |                             |                        | function. Consequently, a decrease in performance          |
|            |                       |                             |                        | or a deadlock sometimes occurred. This update              |
|            |                       |                             |                        | implements per-file removal protection in debugfs.         |
|            |                       |                             |                        | As a result, the performance of the system has             |
|            |                       |                             |                        | improved significantly. (BZ#1538030) * When                |
|            |                       |                             |                        | running the 'perf test' command on a PowerKVM              |
|            |                       |                             |                        | guest multiple times, the branch instructions              |
|            |                       |                             |                        | recorded in Branch History Rolling Buffer (BHRB)           |
|            |                       |                             |                        | entries were sometimes unmapped before the kernel          |
|            |                       |                             |                        | processed the entries. Consequently, the operating         |
|            |                       |                             |                        | system terminated unexpectedly. This update                |
|            |                       |                             |                        | fixes the bug, and the operating system no longer          |
|            |                       |                             |                        | crashes in the described situation. (BZ#1538031)           |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:0502            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2384   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                       |                             |                        | the core of any Linux operating system. Security           |
|            |                       |                             |                        | Fix(es): * Modern operating systems implement              |
|            |                       |                             |                        | virtualization of physical memory to efficiently           |
|            |                       |                             |                        | use available system resources and provide                 |
|            |                       |                             |                        | inter-domain protection through access control             |
|            |                       |                             |                        | and isolation. The L1TF issue was found in the way         |
|            |                       |                             |                        | the x86 microprocessor designs have implemented            |
|            |                       |                             |                        | speculative execution of instructions (a commonly          |
|            |                       |                             |                        | used performance optimisation) in combination              |
|            |                       |                             |                        | with handling of page-faults caused by terminated          |
|            |                       |                             |                        | virtual to physical address resolving process. As          |
|            |                       |                             |                        | a result, an unprivileged attacker could use this          |
|            |                       |                             |                        | flaw to read privileged memory of the kernel or            |
|            |                       |                             |                        | other processes and/or cross guest/host boundaries         |
|            |                       |                             |                        | to read host memory by conducting targeted                 |
|            |                       |                             |                        | cache side-channel attacks. (CVE-2018-3620,                |
|            |                       |                             |                        | CVE-2018-3646) * An industry-wide issue was                |
|            |                       |                             |                        | found in the way many modern microprocessor                |
|            |                       |                             |                        | designs have implemented speculative execution             |
|            |                       |                             |                        | of instructions past bounds check. The flaw                |
|            |                       |                             |                        | relies on the presence of a precisely-defined              |
|            |                       |                             |                        | instruction sequence in the privileged code and            |
|            |                       |                             |                        | the fact that memory writes occur to an address            |
|            |                       |                             |                        | which depends on the untrusted value. Such writes          |
|            |                       |                             |                        | cause an update into the microprocessor's data             |
|            |                       |                             |                        | cache even for speculatively executed instructions         |
|            |                       |                             |                        | that never actually commit (retire). As a                  |
|            |                       |                             |                        | result, an unprivileged attacker could use this            |
|            |                       |                             |                        | flaw to influence speculative execution and/or             |
|            |                       |                             |                        | read privileged memory by conducting targeted              |
|            |                       |                             |                        | cache side-channel attacks. (CVE-2018-3693) *              |
|            |                       |                             |                        | A flaw named SegmentSmack was found in the way             |
|            |                       |                             |                        | the Linux kernel handled specially crafted TCP             |
|            |                       |                             |                        | packets. A remote attacker could use this flaw to          |
|            |                       |                             |                        | trigger time and calculation expensive calls to            |
|            |                       |                             |                        | tcp_collapse_ofo_queue() and tcp_prune_ofo_queue()         |
|            |                       |                             |                        | functions by sending specially modified packets            |
|            |                       |                             |                        | within ongoing TCP sessions which could lead               |
|            |                       |                             |                        | to a CPU saturation and hence a denial of                  |
|            |                       |                             |                        | service on the system. Maintaining the denial              |
|            |                       |                             |                        | of service condition requires continuous two-way           |
|            |                       |                             |                        | TCP sessions to a reachable open port, thus the            |
|            |                       |                             |                        | attacks cannot be performed using spoofed IP               |
|            |                       |                             |                        | addresses. (CVE-2018-5390) * kernel: crypto:               |
|            |                       |                             |                        | privilege escalation in skcipher_recvmsg function          |
|            |                       |                             |                        | (CVE-2017-13215) * kernel: mm: use-after-free              |
|            |                       |                             |                        | in do_get_mempolicy function allows local DoS              |
|            |                       |                             |                        | or other unspecified impact (CVE-2018-10675)               |
|            |                       |                             |                        | * kernel: race condition in snd_seq_write()                |
|            |                       |                             |                        | may lead to UAF or OOB access (CVE-2018-7566)              |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and other              |
|            |                       |                             |                        | related information, refer to the CVE page(s)              |
|            |                       |                             |                        | listed in the References section. Red Hat                  |
|            |                       |                             |                        | would like to thank Intel OSSIRT (Intel.com)               |
|            |                       |                             |                        | for reporting CVE-2018-3620 and CVE-2018-3646;             |
|            |                       |                             |                        | Vladimir Kiriansky (MIT) and Carl Waldspurger              |
|            |                       |                             |                        | (Carl Waldspurger Consulting) for reporting                |
|            |                       |                             |                        | CVE-2018-3693; and Juha-Matti Tilli (Aalto                 |
|            |                       |                             |                        | University, Department of Communications                   |
|            |                       |                             |                        | and Networking and Nokia Bell Labs) for                    |
|            |                       |                             |                        | reporting CVE-2018-5390. Bug Fix(es): These                |
|            |                       |                             |                        | updated kernel packages include also numerous              |
|            |                       |                             |                        | bug fixes. Space precludes documenting all                 |
|            |                       |                             |                        | of the bug fixes in this advisory. See the                 |
|            |                       |                             |                        | descriptions in the related Knowledge Article:             |
|            |                       |                             |                        | https://access.redhat.com/articles/3527791                 |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2384            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2019:0109   | perl-ExtUtils-Install       | 0:1.58-292.el7         | Perl is a high-level programming language that             |
|            |                       |                             |                        | is commonly used for system administration                 |
|            |                       |                             |                        | utilities and web programming. Security Fix(es):           |
|            |                       |                             |                        | * perl: Integer overflow leading to buffer                 |
|            |                       |                             |                        | overflow in Perl_my_setenv() (CVE-2018-18311)              |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section. Red              |
|            |                       |                             |                        | Hat would like to thank the Perl project for               |
|            |                       |                             |                        | reporting this issue. Upstream acknowledges                |
|            |                       |                             |                        | Jayakrishna Menon as the original reporter.                |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0109            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:0372   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel-aarch64 package contain the Linux               |
|            |                       |                             |                        | kernel, the core of any Linux operating system.            |
|            |                       |                             |                        | Security Fix(es): * A race condition was found             |
|            |                       |                             |                        | in the way the Linux kernel's memory subsystem             |
|            |                       |                             |                        | handled the copy-on-write (COW) breakage                   |
|            |                       |                             |                        | of private read-only memory mappings. An                   |
|            |                       |                             |                        | unprivileged, local user could use this flaw to            |
|            |                       |                             |                        | gain write access to otherwise read-only memory            |
|            |                       |                             |                        | mappings and thus increase their privileges                |
|            |                       |                             |                        | on the system. (CVE-2016-5195, Important) *                |
|            |                       |                             |                        | Linux kernel built with the 802.1Q/802.1ad                 |
|            |                       |                             |                        | VLAN(CONFIG_VLAN_8021Q) OR Virtual eXtensible              |
|            |                       |                             |                        | Local Area Network(CONFIG_VXLAN) with Transparent          |
|            |                       |                             |                        | Ethernet Bridging(TEB) GRO support, is vulnerable          |
|            |                       |                             |                        | to a stack overflow issue. It could occur while            |
|            |                       |                             |                        | receiving large packets via GRO path, as an                |
|            |                       |                             |                        | unlimited recursion could unfold in both VLAN              |
|            |                       |                             |                        | and TEB modules, leading to a stack corruption             |
|            |                       |                             |                        | in the kernel. (CVE-2016-7039, Important) Red              |
|            |                       |                             |                        | Hat would like to thank Phil Oester for reporting          |
|            |                       |                             |                        | CVE-2016-5195. Bug Fix(es): * Previously, the              |
|            |                       |                             |                        | operating system did not support the Mellanox              |
|            |                       |                             |                        | ConnectX-4 PCIe Network Interface Controllers              |
|            |                       |                             |                        | (NIC) in Ethernet mode. This update enables                |
|            |                       |                             |                        | Ethernet support in the mlx5 driver. As a result,          |
|            |                       |                             |                        | the Mellanox ConnectX-4 PCIe NICs now work in              |
|            |                       |                             |                        | Ethernet mode as expected. (BZ#1413108) * On the           |
|            |                       |                             |                        | Qualcomm Datacenter Technologies server platform           |
|            |                       |                             |                        | with Qualcomm Datacenter Technologies Centriq              |
|            |                       |                             |                        | 2400 CPU (QDF2400v1) memory accesses sometimes             |
|            |                       |                             |                        | allocated Translation Lookaside Buffer (TLB)               |
|            |                       |                             |                        | entries using an incorrect Address Space ID                |
|            |                       |                             |                        | (ASID). This could consequently result in memory           |
|            |                       |                             |                        | corruption and crashes under certain conditions.           |
|            |                       |                             |                        | The underlying source code has been modified to            |
|            |                       |                             |                        | handle the TTBRx_EL1[ASID] and TTBRx_EL1[BADDR]            |
|            |                       |                             |                        | fields separately using a reserved ASID, and the           |
|            |                       |                             |                        | described problem no longer occurs. (BZ#1421765)           |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2017:0372            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1062   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                       |                             |                        | the core of any Linux operating system. Security           |
|            |                       |                             |                        | Fix(es): * hw: cpu: speculative execution                  |
|            |                       |                             |                        | permission faults handling (CVE-2017-5754,                 |
|            |                       |                             |                        | Important, KVM for Power) * kernel: Buffer                 |
|            |                       |                             |                        | overflow in firewire driver via crafted incoming           |
|            |                       |                             |                        | packets (CVE-2016-8633, Important) * kernel:               |
|            |                       |                             |                        | Use-after-free vulnerability in DCCP socket                |
|            |                       |                             |                        | (CVE-2017-8824, Important) * Kernel: kvm: nVMX:            |
|            |                       |                             |                        | L2 guest could access hardware(L0) CR8 register            |
|            |                       |                             |                        | (CVE-2017-12154, Important) * kernel: v4l2:                |
|            |                       |                             |                        | disabled memory access protection mechanism                |
|            |                       |                             |                        | allowing privilege escalation (CVE-2017-13166,             |
|            |                       |                             |                        | Important) * kernel: media: use-after-free in              |
|            |                       |                             |                        | [tuner-xc2028] media driver (CVE-2016-7913,                |
|            |                       |                             |                        | Moderate) * kernel: drm/vmwgfx: fix integer                |
|            |                       |                             |                        | overflow in vmw_surface_define_ioctl()                     |
|            |                       |                             |                        | (CVE-2017-7294, Moderate) * kernel: Incorrect              |
|            |                       |                             |                        | type conversion for size during dma allocation             |
|            |                       |                             |                        | (CVE-2017-9725, Moderate) * kernel: memory                 |
|            |                       |                             |                        | leak when merging buffers in SCSI IO                       |
|            |                       |                             |                        | vectors (CVE-2017-12190, Moderate) * kernel:               |
|            |                       |                             |                        | vfs: BUG in truncate_inode_pages_range()                   |
|            |                       |                             |                        | and fuse client (CVE-2017-15121,                           |
|            |                       |                             |                        | Moderate) * kernel: Use-after-free in                      |
|            |                       |                             |                        | userfaultfd_event_wait_completion function                 |
|            |                       |                             |                        | in userfaultfd.c (CVE-2017-15126, Moderate) *              |
|            |                       |                             |                        | kernel: net: double-free and memory corruption             |
|            |                       |                             |                        | in get_net_ns_by_id() (CVE-2017-15129,                     |
|            |                       |                             |                        | Moderate) * kernel: Use-after-free in                      |
|            |                       |                             |                        | snd_seq_ioctl_create_port() (CVE-2017-15265,               |
|            |                       |                             |                        | Moderate) * kernel: Missing capabilities                   |
|            |                       |                             |                        | check in net/netfilter/nfnetlink_cthelper.c                |
|            |                       |                             |                        | allows for unprivileged access to systemwide               |
|            |                       |                             |                        | nfnl_cthelper_list structure (CVE-2017-17448,              |
|            |                       |                             |                        | Moderate) * kernel: Missing namespace check                |
|            |                       |                             |                        | in net/netlink/af_netlink.c allows for network             |
|            |                       |                             |                        | monitors to observe systemwide activity                    |
|            |                       |                             |                        | (CVE-2017-17449, Moderate) * kernel: Unallocated           |
|            |                       |                             |                        | memory access by malicious USB device via                  |
|            |                       |                             |                        | bNumInterfaces overflow (CVE-2017-17558,                   |
|            |                       |                             |                        | Moderate) * kernel: netfilter: use-after-free              |
|            |                       |                             |                        | in tcpmss_mangle_packet function in                        |
|            |                       |                             |                        | net/netfilter/xt_TCPMSS.c (CVE-2017-18017,                 |
|            |                       |                             |                        | Moderate) * kernel: Race condition in                      |
|            |                       |                             |                        | drivers/md/dm.c:dm_get_from_kobject()                      |
|            |                       |                             |                        | allows local users to cause a denial of                    |
|            |                       |                             |                        | service (CVE-2017-18203, Moderate) * kernel:               |
|            |                       |                             |                        | kvm: Reachable BUG() on out-of-bounds                      |
|            |                       |                             |                        | guest IRQ (CVE-2017-1000252, Moderate) *                   |
|            |                       |                             |                        | Kernel: KVM: DoS via write flood to I/O                    |
|            |                       |                             |                        | port 0x80 (CVE-2017-1000407, Moderate) *                   |
|            |                       |                             |                        | kernel: Stack information leak in the EFS                  |
|            |                       |                             |                        | element (CVE-2017-1000410, Moderate) *                     |
|            |                       |                             |                        | kernel: Kernel address information leak in                 |
|            |                       |                             |                        | drivers/acpi/sbshc.c:acpi_smbus_hc_add() function          |
|            |                       |                             |                        | potentially allowing KASLR bypass (CVE-2018-5750,          |
|            |                       |                             |                        | Moderate) * kernel: Race condition in sound system         |
|            |                       |                             |                        | can lead to denial of service (CVE-2018-1000004,           |
|            |                       |                             |                        | Moderate)  * kernel: multiple Low security impact          |
|            |                       |                             |                        | security issues (CVE-2016-3672, CVE-2017-14140,            |
|            |                       |                             |                        | CVE-2017-15116, CVE-2017-15127, CVE-2018-6927,             |
|            |                       |                             |                        | Low) Red Hat would like to thank Eyal Itkin for            |
|            |                       |                             |                        | reporting CVE-2016-8633; Google Project Zero               |
|            |                       |                             |                        | for reporting CVE-2017-5754; Mohamed Ghannam for           |
|            |                       |                             |                        | reporting CVE-2017-8824; Jim Mattson (Google.com)          |
|            |                       |                             |                        | for reporting CVE-2017-12154; Vitaly Mayatskih             |
|            |                       |                             |                        | for reporting CVE-2017-12190; Andrea Arcangeli             |
|            |                       |                             |                        | (Engineering) for reporting CVE-2017-15126;                |
|            |                       |                             |                        | Kirill Tkhai for reporting CVE-2017-15129; Jan H.          |
|            |                       |                             |                        | Schönherr (Amazon) for reporting CVE-2017-1000252;         |
|            |                       |                             |                        | and Armis Labs for reporting CVE-2017-1000410.             |
|            |                       |                             |                        | The CVE-2017-15121 issue was discovered by Miklos          |
|            |                       |                             |                        | Szeredi (Red Hat) and the CVE-2017-15116 issue             |
|            |                       |                             |                        | was discovered by ChunYu Wang (Red Hat). For more          |
|            |                       |                             |                        | details about the security issue(s), including             |
|            |                       |                             |                        | the impact, a CVSS score, and other related                |
|            |                       |                             |                        | information, refer to the CVE page(s) listed in            |
|            |                       |                             |                        | the References section. Additional Changes: For            |
|            |                       |                             |                        | detailed information on changes in this release,           |
|            |                       |                             |                        | see the Red Hat Enterprise Linux 7.5 Release               |
|            |                       |                             |                        | Notes linked from the References section.                  |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:1062            |
+------------+-----------------------+-----------------------------+------------------------+------------------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2748   | kernel-headers              | 3.10.0-693.21.1.el7    | The kernel packages contain the Linux kernel,              |
|            |                       |                             |                        | the core of any Linux operating system. Security           |
|            |                       |                             |                        | Fix(es): * kernel: Integer overflow in Linux's             |
|            |                       |                             |                        | create_elf_tables function (CVE-2018-14634)                |
|            |                       |                             |                        | For more details about the security issue(s),              |
|            |                       |                             |                        | including the impact, a CVSS score, and                    |
|            |                       |                             |                        | other related information, refer to the CVE                |
|            |                       |                             |                        | page(s) listed in the References section. Red              |
|            |                       |                             |                        | Hat would like to thank Qualys Research Labs               |
