+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME                | PACKAGE VERSION        | CVE DESCRIPTION                                 |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2079 | libX11                      | 1.6.5-1.el7            | X.Org is an open-source implementation of the X |
|            |                       |                             |                        | Window System. It provides the basic low-level  |
|            |                       |                             |                        | functionality that full-fledged graphical       |
|            |                       |                             |                        | user interfaces are designed upon. Security     |
|            |                       |                             |                        | Fix(es): * libX11: Crash on invalid reply in    |
|            |                       |                             |                        | XListExtensions in ListExt.c (CVE-2018-14598)   |
|            |                       |                             |                        | * libX11: Off-by-one error in XListExtensions   |
|            |                       |                             |                        | in ListExt.c (CVE-2018-14599) * libX11: Out of  |
|            |                       |                             |                        | Bounds write in XListExtensions in ListExt.c    |
|            |                       |                             |                        | (CVE-2018-14600) * libxkbcommon: Invalid        |
|            |                       |                             |                        | free in ExprAppendMultiKeysymList resulting     |
|            |                       |                             |                        | in a crash (CVE-2018-15857) * libxkbcommon:     |
|            |                       |                             |                        | Endless recursion in xkbcomp/expr.c resulting   |
|            |                       |                             |                        | in a crash (CVE-2018-15853) * libxkbcommon:     |
|            |                       |                             |                        | NULL pointer dereference resulting in a         |
|            |                       |                             |                        | crash (CVE-2018-15854) * libxkbcommon: NULL     |
|            |                       |                             |                        | pointer dereference when handling xkb_geometry  |
|            |                       |                             |                        | (CVE-2018-15855) * libxkbcommon: Infinite       |
|            |                       |                             |                        | loop when reaching EOL unexpectedly resulting   |
|            |                       |                             |                        | in a crash (CVE-2018-15856) * libxkbcommon:     |
|            |                       |                             |                        | NULL pointer dereference when parsing invalid   |
|            |                       |                             |                        | atoms in ExprResolveLhs resulting in a crash    |
|            |                       |                             |                        | (CVE-2018-15859) * libxkbcommon: NULL pointer   |
|            |                       |                             |                        | dereference in ExprResolveLhs resulting in      |
|            |                       |                             |                        | a crash (CVE-2018-15861) * libxkbcommon:        |
|            |                       |                             |                        | NULL pointer dereference in LookupModMask       |
|            |                       |                             |                        | resulting in a crash (CVE-2018-15862) *         |
|            |                       |                             |                        | libxkbcommon: NULL pointer dereference in       |
|            |                       |                             |                        | ResolveStateAndPredicate resulting in a crash   |
|            |                       |                             |                        | (CVE-2018-15863) * libxkbcommon: NULL pointer   |
|            |                       |                             |                        | dereference in resolve_keysym resulting in      |
|            |                       |                             |                        | a crash (CVE-2018-15864) For more details       |
|            |                       |                             |                        | about the security issue(s), including          |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2079 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3157 | libcurl                     | 7.29.0-42.el7_4.1      | The curl packages provide the libcurl           |
|            |                       |                             |                        | library and the curl utility for downloading    |
|            |                       |                             |                        | files from servers using various protocols,     |
|            |                       |                             |                        | including HTTP, FTP, and LDAP. The nss-pem      |
|            |                       |                             |                        | package provides the PEM file reader for        |
|            |                       |                             |                        | Network Security Services (NSS) implemented     |
|            |                       |                             |                        | as a PKCS#11 module. Security Fix(es): *        |
|            |                       |                             |                        | curl: HTTP authentication leak in redirects     |
|            |                       |                             |                        | (CVE-2018-1000007) * curl: FTP path             |
|            |                       |                             |                        | trickery leads to NIL byte out of bounds        |
|            |                       |                             |                        | write (CVE-2018-1000120) * curl: RTSP RTP       |
|            |                       |                             |                        | buffer over-read (CVE-2018-1000122) * curl:     |
|            |                       |                             |                        | Out-of-bounds heap read when missing RTSP       |
|            |                       |                             |                        | headers allows information leak of denial of    |
|            |                       |                             |                        | service (CVE-2018-1000301) * curl: LDAP NULL    |
|            |                       |                             |                        | pointer dereference (CVE-2018-1000121) For more |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, and other related     |
|            |                       |                             |                        | information, refer to the CVE page(s) listed    |
|            |                       |                             |                        | in the References section. Red Hat would like   |
|            |                       |                             |                        | to thank the Curl project for reporting these   |
|            |                       |                             |                        | issues. Upstream acknowledges Craig de Stigter  |
|            |                       |                             |                        | as the original reporter of CVE-2018-1000007;   |
|            |                       |                             |                        | Duy Phan Thanh as the original reporter         |
|            |                       |                             |                        | of CVE-2018-1000120; Max Dymond as the          |
|            |                       |                             |                        | original reporter of CVE-2018-1000122; the      |
|            |                       |                             |                        | OSS-fuzz project as the original reporter       |
|            |                       |                             |                        | of CVE-2018-1000301; and Dario Weisser as       |
|            |                       |                             |                        | the original reporter of CVE-2018-1000121.      |
|            |                       |                             |                        | Additional Changes: For detailed information    |
|            |                       |                             |                        | on changes in this release, see the Red         |
|            |                       |                             |                        | Hat Enterprise Linux 7.6 Release Notes          |
|            |                       |                             |                        | linked from the References section.             |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3157 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:0483 | openssl-libs                | 1:1.0.2k-8.el7         | OpenSSL is a toolkit that implements the        |
|            |                       |                             |                        | Secure Sockets Layer (SSL) and Transport        |
|            |                       |                             |                        | Layer Security (TLS) protocols, as              |
|            |                       |                             |                        | well as a full-strength general-purpose         |
|            |                       |                             |                        | cryptography library. Security Fix(es):         |
|            |                       |                             |                        | * openssl: Side-channel vulnerability on        |
|            |                       |                             |                        | SMT/Hyper-Threading architectures (PortSmash)   |
|            |                       |                             |                        | (CVE-2018-5407) For more details about the      |
|            |                       |                             |                        | security issue(s), including the impact,        |
|            |                       |                             |                        | a CVSS score, acknowledgments, and other        |
|            |                       |                             |                        | related information, refer to the CVE           |
|            |                       |                             |                        | page(s) listed in the References section.       |
|            |                       |                             |                        | Bug Fix(es): * Perform the RSA signature        |
|            |                       |                             |                        | self-tests with SHA-256 (BZ#1673914)            |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:0483 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3221 | openssl-libs                | 1:1.0.2k-8.el7         | OpenSSL is a toolkit that implements the        |
|            |                       |                             |                        | Secure Sockets Layer (SSL) and Transport        |
|            |                       |                             |                        | Layer Security (TLS) protocols, as well as      |
|            |                       |                             |                        | a full-strength general-purpose cryptography    |
|            |                       |                             |                        | library. Security Fix(es): * openssl: ROHNP     |
|            |                       |                             |                        | - Key Extraction Side Channel in Multiple       |
|            |                       |                             |                        | Crypto Libraries (CVE-2018-0495) * openssl:     |
|            |                       |                             |                        | Malicious server can send large prime to        |
|            |                       |                             |                        | client during DH(E) TLS handshake causing       |
|            |                       |                             |                        | the client to hang (CVE-2018-0732) * openssl:   |
|            |                       |                             |                        | Handling of crafted recursive ASN.1 structures  |
|            |                       |                             |                        | can cause a stack overflow and resulting        |
|            |                       |                             |                        | denial of service (CVE-2018-0739) * openssl:    |
|            |                       |                             |                        | Malformed X.509 IPAdressFamily could cause      |
|            |                       |                             |                        | OOB read (CVE-2017-3735) * openssl: RSA key     |
|            |                       |                             |                        | generation cache timing vulnerability in        |
|            |                       |                             |                        | crypto/rsa/rsa_gen.c allows attackers to        |
|            |                       |                             |                        | recover private keys (CVE-2018-0737) For        |
|            |                       |                             |                        | more details about the security issue(s),       |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the         |
|            |                       |                             |                        | CVE page(s) listed in the References            |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.6 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3221 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2304 | openssl-libs                | 1:1.0.2k-8.el7         | OpenSSL is a toolkit that implements the        |
|            |                       |                             |                        | Secure Sockets Layer (SSL) and Transport        |
|            |                       |                             |                        | Layer Security (TLS) protocols, as well as      |
|            |                       |                             |                        | a full-strength general-purpose cryptography    |
|            |                       |                             |                        | library. Security Fix(es): * openssl: 0-byte    |
|            |                       |                             |                        | record padding oracle (CVE-2019-1559) *         |
|            |                       |                             |                        | openssl: timing side channel attack in the DSA  |
|            |                       |                             |                        | signature algorithm (CVE-2018-0734) For more    |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2304 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:0998 | openssl-libs                | 1:1.0.2k-8.el7         | OpenSSL is a toolkit that implements the        |
|            |                       |                             |                        | Secure Sockets Layer (SSL) and Transport        |
|            |                       |                             |                        | Layer Security (TLS) protocols, as well as      |
|            |                       |                             |                        | a full-strength general-purpose cryptography    |
|            |                       |                             |                        | library. Security Fix(es): * openssl:           |
|            |                       |                             |                        | bn_sqrx8x_internal carry bug on x86_64          |
|            |                       |                             |                        | (CVE-2017-3736) * openssl: Read/write after     |
|            |                       |                             |                        | SSL object in error state (CVE-2017-3737)       |
|            |                       |                             |                        | * openssl: rsaz_1024_mul_avx2 overflow          |
|            |                       |                             |                        | bug on x86_64 (CVE-2017-3738) For more          |
|            |                       |                             |                        | details about the security issue(s),            |
|            |                       |                             |                        | including the impact, a CVSS score, and         |
|            |                       |                             |                        | other related information, refer to the         |
|            |                       |                             |                        | CVE page(s) listed in the References            |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.5 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:0998 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:2768 | nss                         | 3.28.4-15.el7_4        | Network Security Services (NSS) is a            |
|            |                       |                             |                        | set of libraries designed to support the        |
|            |                       |                             |                        | cross-platform development of security-enabled  |
|            |                       |                             |                        | client and server applications. Security        |
|            |                       |                             |                        | Fix(es): * nss: ServerHello.random is all       |
|            |                       |                             |                        | zeros when handling a v2-compatible ClientHello |
|            |                       |                             |                        | (CVE-2018-12384) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a CVSS |
|            |                       |                             |                        | score, and other related information, refer     |
|            |                       |                             |                        | to the CVE page(s) listed in the References     |
|            |                       |                             |                        | section. Red Hat would like to thank the        |
|            |                       |                             |                        | Mozilla project for reporting this issue.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:2768 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2237 | nspr                        | 4.13.1-1.0.el7_3       | Network Security Services (NSS) is a            |
|            |                       |                             |                        | set of libraries designed to support the        |
|            |                       |                             |                        | cross-platform development of security-enabled  |
|            |                       |                             |                        | client and server applications. Netscape        |
|            |                       |                             |                        | Portable Runtime (NSPR) provides platform       |
|            |                       |                             |                        | independence for non-GUI operating system       |
|            |                       |                             |                        | facilities. The following packages have been    |
|            |                       |                             |                        | upgraded to a later upstream version: nss       |
|            |                       |                             |                        | (3.44.0), nss-softokn (3.44.0), nss-util        |
|            |                       |                             |                        | (3.44.0), nspr (4.21.0). (BZ#1645231,           |
|            |                       |                             |                        | BZ#1692269, BZ#1692271, BZ#1692274) Security    |
|            |                       |                             |                        | Fix(es): * ROHNP: Key Extraction Side Channel   |
|            |                       |                             |                        | in Multiple Crypto Libraries (CVE-2018-0495)    |
|            |                       |                             |                        | * nss: Cache side-channel variant of the        |
|            |                       |                             |                        | Bleichenbacher attack (CVE-2018-12404) For more |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2237 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2075 | binutils                    | 2.25.1-32.base.el7_4.2 | The binutils packages provide a collection      |
|            |                       |                             |                        | of binary utilities for the manipulation of     |
|            |                       |                             |                        | object code in various object file formats. It  |
|            |                       |                             |                        | includes the ar, as, gprof, ld, nm, objcopy,    |
|            |                       |                             |                        | objdump, ranlib, readelf, size, strings,        |
|            |                       |                             |                        | strip, and addr2line utilities. Security        |
|            |                       |                             |                        | Fix(es): * binutils: integer overflow leads     |
|            |                       |                             |                        | to heap-based buffer overflow in objdump        |
|            |                       |                             |                        | (CVE-2018-1000876) * binutils: Stack Exhaustion |
|            |                       |                             |                        | in the demangling functions provided by         |
|            |                       |                             |                        | libiberty (CVE-2018-12641) * binutils: NULL     |
|            |                       |                             |                        | pointer dereference in work_stuff_copy_to_from  |
|            |                       |                             |                        | in cplus-dem.c. (CVE-2018-12697) For more       |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2075 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2079 | libX11-devel                | 1.6.5-1.el7            | X.Org is an open-source implementation of the X |
|            |                       |                             |                        | Window System. It provides the basic low-level  |
|            |                       |                             |                        | functionality that full-fledged graphical       |
|            |                       |                             |                        | user interfaces are designed upon. Security     |
|            |                       |                             |                        | Fix(es): * libX11: Crash on invalid reply in    |
|            |                       |                             |                        | XListExtensions in ListExt.c (CVE-2018-14598)   |
|            |                       |                             |                        | * libX11: Off-by-one error in XListExtensions   |
|            |                       |                             |                        | in ListExt.c (CVE-2018-14599) * libX11: Out of  |
|            |                       |                             |                        | Bounds write in XListExtensions in ListExt.c    |
|            |                       |                             |                        | (CVE-2018-14600) * libxkbcommon: Invalid        |
|            |                       |                             |                        | free in ExprAppendMultiKeysymList resulting     |
|            |                       |                             |                        | in a crash (CVE-2018-15857) * libxkbcommon:     |
|            |                       |                             |                        | Endless recursion in xkbcomp/expr.c resulting   |
|            |                       |                             |                        | in a crash (CVE-2018-15853) * libxkbcommon:     |
|            |                       |                             |                        | NULL pointer dereference resulting in a         |
|            |                       |                             |                        | crash (CVE-2018-15854) * libxkbcommon: NULL     |
|            |                       |                             |                        | pointer dereference when handling xkb_geometry  |
|            |                       |                             |                        | (CVE-2018-15855) * libxkbcommon: Infinite       |
|            |                       |                             |                        | loop when reaching EOL unexpectedly resulting   |
|            |                       |                             |                        | in a crash (CVE-2018-15856) * libxkbcommon:     |
|            |                       |                             |                        | NULL pointer dereference when parsing invalid   |
|            |                       |                             |                        | atoms in ExprResolveLhs resulting in a crash    |
|            |                       |                             |                        | (CVE-2018-15859) * libxkbcommon: NULL pointer   |
|            |                       |                             |                        | dereference in ExprResolveLhs resulting in      |
|            |                       |                             |                        | a crash (CVE-2018-15861) * libxkbcommon:        |
|            |                       |                             |                        | NULL pointer dereference in LookupModMask       |
|            |                       |                             |                        | resulting in a crash (CVE-2018-15862) *         |
|            |                       |                             |                        | libxkbcommon: NULL pointer dereference in       |
|            |                       |                             |                        | ResolveStateAndPredicate resulting in a crash   |
|            |                       |                             |                        | (CVE-2018-15863) * libxkbcommon: NULL pointer   |
|            |                       |                             |                        | dereference in resolve_keysym resulting in      |
|            |                       |                             |                        | a crash (CVE-2018-15864) For more details       |
|            |                       |                             |                        | about the security issue(s), including          |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2079 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2118 | glibc-common                | 2.17-196.el7_4.2       | The glibc packages provide the standard C       |
|            |                       |                             |                        | libraries (libc), POSIX thread libraries        |
|            |                       |                             |                        | (libpthread), standard math libraries (libm),   |
|            |                       |                             |                        | and the name service cache daemon (nscd) used   |
|            |                       |                             |                        | by multiple programs on the system. Without     |
|            |                       |                             |                        | these libraries, the Linux system cannot        |
|            |                       |                             |                        | function correctly. Security Fix(es): * glibc:  |
|            |                       |                             |                        | getaddrinfo should reject IP addresses with     |
|            |                       |                             |                        | trailing characters (CVE-2016-10739) For more   |
|            |                       |                             |                        | details about the security issue(s), including  |
|            |                       |                             |                        | the impact, a CVSS score, acknowledgments,      |
|            |                       |                             |                        | and other related information, refer to         |
|            |                       |                             |                        | the CVE page(s) listed in the References        |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.7 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2019:2118 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2018:3092 | glibc-common                | 2.17-196.el7_4.2       | The glibc packages provide the standard C       |
|            |                       |                             |                        | libraries (libc), POSIX thread libraries        |
|            |                       |                             |                        | (libpthread), standard math libraries (libm),   |
|            |                       |                             |                        | and the name service cache daemon (nscd) used   |
|            |                       |                             |                        | by multiple programs on the system. Without     |
|            |                       |                             |                        | these libraries, the Linux system cannot        |
|            |                       |                             |                        | function correctly. Security Fix(es): * glibc:  |
|            |                       |                             |                        | Incorrect handling of RPATH in elf/dl-load.c    |
|            |                       |                             |                        | can be used to execute code loaded from         |
|            |                       |                             |                        | arbitrary libraries (CVE-2017-16997) * glibc:   |
|            |                       |                             |                        | Integer overflow in posix_memalign in memalign  |
|            |                       |                             |                        | functions (CVE-2018-6485) * glibc: Integer      |
|            |                       |                             |                        | overflow in stdlib/canonicalize.c on 32-bit     |
|            |                       |                             |                        | architectures leading to stack-based buffer     |
|            |                       |                             |                        | overflow (CVE-2018-11236) * glibc: Buffer       |
|            |                       |                             |                        | overflow in __mempcpy_avx512_no_vzeroupper      |
|            |                       |                             |                        | (CVE-2018-11237) For more details about the     |
|            |                       |                             |                        | security issue(s), including the impact, a CVSS |
|            |                       |                             |                        | score, and other related information, refer     |
|            |                       |                             |                        | to the CVE page(s) listed in the References     |
|            |                       |                             |                        | section. Additional Changes: For detailed       |
|            |                       |                             |                        | information on changes in this release, see     |
|            |                       |                             |                        | the Red Hat Enterprise Linux 7.6 Release        |
|            |                       |                             |                        | Notes linked from the References section.       |
|            |                       |                             |                        | https://access.redhat.com/errata/RHSA-2018:3092 |
+------------+-----------------------+-----------------------------+------------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2019:2189 | procps-ng                   | 3.3.10-16.el7          | The procps-ng packages contain a set of system  |
|            |                       |                             |                        | utilities that provide system information,      |
