+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY            | PACKAGE NAME             | PACKAGE VERSION       | CVE DESCRIPTION                                 |
|            |                         |                          |                       | of CPU was consumed. With this update, the      |
|            |                         |                          |                       | underlying source code has been fixed to        |
|            |                         |                          |                       | avoid taking spinlock when the interrupt        |
|            |                         |                          |                       | line does not exist. As a result, the           |
|            |                         |                          |                       | spinlock overhead is now generated less         |
|            |                         |                          |                       | often, and multiple simultaneous processes      |
|            |                         |                          |                       | can now read /proc/stat without consuming       |
|            |                         |                          |                       | a large amount of CPU. (BZ#1428106)             |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:0892 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:3200     | kernel-headers           | 2.6.32-642.4.2.el6    | The kernel packages contain the Linux           |
|            |                         |                          |                       | kernel, the core of any Linux operating         |
|            |                         |                          |                       | system. Security Fix(es): * A race condition    |
|            |                         |                          |                       | issue leading to a use-after-free flaw was      |
|            |                         |                          |                       | found in the way the raw packet sockets are     |
|            |                         |                          |                       | implemented in the Linux kernel networking      |
|            |                         |                          |                       | subsystem handling synchronization. A           |
|            |                         |                          |                       | local user able to open a raw packet socket     |
|            |                         |                          |                       | (requires the CAP_NET_RAW capability) could     |
|            |                         |                          |                       | use this flaw to elevate their privileges       |
|            |                         |                          |                       | on the system. (CVE-2017-1000111, Important)    |
|            |                         |                          |                       | * An exploitable memory corruption flaw was     |
|            |                         |                          |                       | found in the Linux kernel. The append path      |
|            |                         |                          |                       | can be erroneously switched from UFO to         |
|            |                         |                          |                       | non-UFO in ip_ufo_append_data() when building   |
|            |                         |                          |                       | an UFO packet with MSG_MORE option. If          |
|            |                         |                          |                       | unprivileged user namespaces are available,     |
|            |                         |                          |                       | this flaw can be exploited to gain root         |
|            |                         |                          |                       | privileges. (CVE-2017-1000112, Important)       |
|            |                         |                          |                       | * A divide-by-zero vulnerability was found      |
|            |                         |                          |                       | in the __tcp_select_window function in the      |
|            |                         |                          |                       | Linux kernel. This can result in a kernel       |
|            |                         |                          |                       | panic causing a local denial of service.        |
|            |                         |                          |                       | (CVE-2017-14106, Moderate) Red Hat would        |
|            |                         |                          |                       | like to thank Willem de Bruijn for reporting    |
|            |                         |                          |                       | CVE-2017-1000111 and Andrey Konovalov for       |
|            |                         |                          |                       | reporting CVE-2017-1000112. Bug Fix(es): * When |
|            |                         |                          |                       | the operating system was booted with Red Hat    |
|            |                         |                          |                       | Enterprise Virtualization, and the eh_deadline  |
|            |                         |                          |                       | sysfs parameter was set to 10s, the Storage     |
|            |                         |                          |                       | Area Network (SAN) issues caused eh_deadline to |
|            |                         |                          |                       | trigger with no handler. Consequently, a kernel |
|            |                         |                          |                       | panic occurred. This update fixes the lpfc      |
|            |                         |                          |                       | driver, thus preventing the kernel panic under  |
|            |                         |                          |                       | described circumstances. (BZ#1487220) * When    |
|            |                         |                          |                       | an NFS server returned the NFS4ERR_BAD_SEQID    |
|            |                         |                          |                       | error to an OPEN request, the open-owner        |
|            |                         |                          |                       | was removed from the state_owners rbtree.       |
|            |                         |                          |                       | Consequently, NFS4 client infinite loop that    |
|            |                         |                          |                       | required a reboot to recover occurred. This     |
|            |                         |                          |                       | update changes NFS4ERR_BAD_SEQID handling to    |
|            |                         |                          |                       | leave the open-owner in the state_owners rbtree |
|            |                         |                          |                       | by updating the create_time parameter so that   |
|            |                         |                          |                       | it looks like a new open-owner. As a result,    |
|            |                         |                          |                       | an NFS4 client is now able to recover without   |
|            |                         |                          |                       | falling into the infinite recovery loop after   |
|            |                         |                          |                       | receiving NFS4ERR_BAD_SEQID. (BZ#1491123) * If  |
|            |                         |                          |                       | an NFS client attempted to mount NFSv3 shares   |
|            |                         |                          |                       | from an NFS server exported directly to the     |
|            |                         |                          |                       | client's IP address, and this NFS client had    |
|            |                         |                          |                       | already mounted other shares that originated    |
|            |                         |                          |                       | from the same server but were exported to the   |
|            |                         |                          |                       | subnetwork which this client was part of, the   |
|            |                         |                          |                       | auth.unix.ip cache expiration was not handled   |
|            |                         |                          |                       | correctly. Consequently, the client received    |
|            |                         |                          |                       | the 'stale file handle' errors when trying to   |
|            |                         |                          |                       | mount the share. This update fixes handling     |
|            |                         |                          |                       | of the cache expiration, and the NFSv3 shares   |
|            |                         |                          |                       | now mount as expected without producing the     |
|            |                         |                          |                       | 'stale file handle' errors. (BZ#1497976) *      |
|            |                         |                          |                       | When running a script that raised the tx ring   |
|            |                         |                          |                       | count to its maximum value supported by the     |
|            |                         |                          |                       | Solarflare Network Interface Controller (NIC)   |
|            |                         |                          |                       | driver, the EF10 family NICs allowed the        |
|            |                         |                          |                       | settings exceeding the hardware's capability.   |
|            |                         |                          |                       | Consequently, the Solarflare hardware became    |
|            |                         |                          |                       | unusable with Red Hat Entepripse Linux 6. This  |
|            |                         |                          |                       | update fixes the sfc driver, so that the tx     |
|            |                         |                          |                       | ring can have maximum 2048 entries for all EF10 |
|            |                         |                          |                       | NICs. As a result, the Solarflare hardware no   |
|            |                         |                          |                       | longer becomes unusable with Red Hat Entepripse |
|            |                         |                          |                       | Linux 6 due to this bug. (BZ#1498019)           |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:3200 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2016:2006     | kernel-headers           | 2.6.32-642.4.2.el6    | The kernel packages contain the Linux kernel,   |
|            |                         |                          |                       | the core of any Linux operating system.         |
|            |                         |                          |                       | Security Fix(es): * A flaw was found in the     |
|            |                         |                          |                       | Linux kernel's keyring handling code, where     |
|            |                         |                          |                       | in key_reject_and_link() an uninitialized       |
|            |                         |                          |                       | variable would eventually lead to arbitrary     |
|            |                         |                          |                       | free address which could allow attacker to use  |
|            |                         |                          |                       | a use-after-free style attack. (CVE-2016-4470,  |
|            |                         |                          |                       | Important) * A heap-based buffer overflow       |
|            |                         |                          |                       | vulnerability was found in the Linux kernel's   |
|            |                         |                          |                       | hiddev driver. This flaw could allow a local    |
|            |                         |                          |                       | attacker to corrupt kernel memory, possible     |
|            |                         |                          |                       | privilege escalation or crashing the system.    |
|            |                         |                          |                       | (CVE-2016-5829, Moderate) The CVE-2016-4470     |
|            |                         |                          |                       | issue was discovered by David Howells (Red      |
|            |                         |                          |                       | Hat Inc.). Bug Fix(es): * Previously, when      |
|            |                         |                          |                       | two NFS shares with different security          |
|            |                         |                          |                       | settings were mounted, the I/O operations to    |
|            |                         |                          |                       | the kerberos-authenticated mount caused the     |
|            |                         |                          |                       | RPC_CRED_KEY_EXPIRE_SOON parameter to be set,   |
|            |                         |                          |                       | but the parameter was not unset when performing |
|            |                         |                          |                       | the I/O operations on the sec=sys mount.        |
|            |                         |                          |                       | Consequently, writes to both NFS shares had the |
|            |                         |                          |                       | same parameters, regardless of their security   |
|            |                         |                          |                       | settings. This update fixes this problem        |
|            |                         |                          |                       | by moving the NO_CRKEY_TIMEOUT parameter to     |
|            |                         |                          |                       | the auth->au_flags field. As a result, NFS      |
|            |                         |                          |                       | shares with different security settings are     |
|            |                         |                          |                       | now handled as expected. (BZ#1366962) * In      |
|            |                         |                          |                       | some circumstances, resetting a Fibre Channel   |
|            |                         |                          |                       | over Ethernet (FCoE) interface could lead to    |
|            |                         |                          |                       | a kernel panic, due to invalid information      |
|            |                         |                          |                       | extracted from the FCoE header. This update     |
|            |                         |                          |                       | adds santiy checking to the cpu number          |
|            |                         |                          |                       | extracted from the FCoE header. This ensures    |
|            |                         |                          |                       | that subsequent operations address a valid cpu, |
|            |                         |                          |                       | and eliminates the kernel panic. (BZ#1359036)   |
|            |                         |                          |                       | * Prior to this update, the following problems  |
|            |                         |                          |                       | occurred with the way GSF2 transitioned files   |
|            |                         |                          |                       | and directories from the "unlinked" state to    |
|            |                         |                          |                       | the "free" state: The numbers reported for the  |
|            |                         |                          |                       | df and the du commands in some cases got out    |
|            |                         |                          |                       | of sync, which caused blocks in the file system |
|            |                         |                          |                       | to appear missing. The blocks were not actually |
|            |                         |                          |                       | missing, but they were left in the "unlinked"   |
|            |                         |                          |                       | state. In some circumstances, GFS2 referenced   |
|            |                         |                          |                       | a cluster lock that was already deleted,        |
|            |                         |                          |                       | which led to a kernel panic. If an object was   |
|            |                         |                          |                       | deleted and its space reused as a different     |
|            |                         |                          |                       | object, GFS2 sometimes deleted the existing     |
|            |                         |                          |                       | one, which caused file system corruption. With  |
|            |                         |                          |                       | this update, the transition from "unlinked"     |
|            |                         |                          |                       | to "free" state has been fixed. As a result,    |
|            |                         |                          |                       | none of these three problems occur anymore.     |
|            |                         |                          |                       | (BZ#1359037) * Previously, the GFS2 file system |
|            |                         |                          |                       | in some cases became unresponsive due to lock   |
|            |                         |                          |                       | dependency problems between inodes and the      |
|            |                         |                          |                       | cluster lock. This occurred most frequently     |
|            |                         |                          |                       | on nearly full file systems where files and     |
|            |                         |                          |                       | directories were being deleted and recreated    |
|            |                         |                          |                       | at the same block location at the same time.    |
|            |                         |                          |                       | With this update, a set of patches has been     |
|            |                         |                          |                       | applied to fix these lock dependencies. As a    |
|            |                         |                          |                       | result, GFS2 no longer hangs in the described   |
|            |                         |                          |                       | circumstances. (BZ#1359038) * When used         |
|            |                         |                          |                       | with controllers that do not support DCMD-      |
|            |                         |                          |                       | MR_DCMD_PD_LIST_QUERY, the megaraid_sas driver  |
|            |                         |                          |                       | can go into infinite error reporting loop of    |
|            |                         |                          |                       | error reporting messages. This could cause      |
|            |                         |                          |                       | difficulties with finding other important       |
|            |                         |                          |                       | log messages, or even it could cause the        |
|            |                         |                          |                       | disk to overflow. This bug has been fixed by    |
|            |                         |                          |                       | ignoring the DCMD MR_DCMD_PD_LIST_QUERY query   |
|            |                         |                          |                       | for controllers which do not support it and     |
|            |                         |                          |                       | sending the DCMD SUCCESS status to the AEN      |
|            |                         |                          |                       | functions. As a result, the error messages no   |
|            |                         |                          |                       | longer appear when there is a change in the     |
|            |                         |                          |                       | status of one of the arrays. (BZ#1359039)       |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2016:2006 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2017:0063     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                       | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                       | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                       | a resolver library (routines for applications   |
|            |                         |                          |                       | to use when interfacing with DNS); and tools    |
|            |                         |                          |                       | for verifying that the DNS server is operating  |
|            |                         |                          |                       | correctly. Security Fix(es): * A denial of      |
|            |                         |                          |                       | service flaw was found in the way BIND handled  |
|            |                         |                          |                       | a query response containing inconsistent DNSSEC |
|            |                         |                          |                       | information. A remote attacker could use this   |
|            |                         |                          |                       | flaw to make named exit unexpectedly with       |
|            |                         |                          |                       | an assertion failure via a specially crafted    |
|            |                         |                          |                       | DNS response. (CVE-2016-9147) Red Hat would     |
|            |                         |                          |                       | like to thank ISC for reporting this issue.     |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2017:0063 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:0101     | bind-utils               | 32:9.8.2-0.47.rc1.el6 | The Berkeley Internet Name Domain (BIND) is an  |
|            |                         |                          |                       | implementation of the Domain Name System (DNS)  |
|            |                         |                          |                       | protocols. BIND includes a DNS server (named);  |
|            |                         |                          |                       | a resolver library (routines for applications   |
|            |                         |                          |                       | to use when interfacing with DNS); and tools    |
|            |                         |                          |                       | for verifying that the DNS server is operating  |
|            |                         |                          |                       | correctly. Security Fix(es): * A use-after-free |
|            |                         |                          |                       | flaw leading to denial of service was found     |
|            |                         |                          |                       | in the way BIND internally handled cleanup      |
|            |                         |                          |                       | operations on upstream recursion fetch          |
|            |                         |                          |                       | contexts. A remote attacker could potentially   |
|            |                         |                          |                       | use this flaw to make named, acting as a DNSSEC |
|            |                         |                          |                       | validating resolver, exit unexpectedly with     |
|            |                         |                          |                       | an assertion failure via a specially crafted    |
|            |                         |                          |                       | DNS request. (CVE-2017-3145) Red Hat would      |
|            |                         |                          |                       | like to thank ISC for reporting this issue.     |
|            |                         |                          |                       | Upstream acknowledges Jayachandran Palanisamy   |
|            |                         |                          |                       | (Cygate AB) as the original reporter.           |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2018:0101 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:1319     | kernel-headers           | 2.6.32-642.4.2.el6    | The kernel packages contain the Linux kernel,   |
|            |                         |                          |                       | the core of any Linux operating system.         |
|            |                         |                          |                       | Security Fix(es): * hw: cpu: speculative        |
|            |                         |                          |                       | execution permission faults handling            |
|            |                         |                          |                       | (CVE-2017-5754, x86 32-bit) * Kernel:           |
|            |                         |                          |                       | error in exception handling leads to DoS        |
|            |                         |                          |                       | (CVE-2018-8897) * kernel: nfsd: Incorrect       |
|            |                         |                          |                       | handling of long RPC replies (CVE-2017-7645)    |
|            |                         |                          |                       | * kernel: Use-after-free vulnerability          |
|            |                         |                          |                       | in DCCP socket (CVE-2017-8824) * kernel:        |
|            |                         |                          |                       | v4l2: disabled memory access protection         |
|            |                         |                          |                       | mechanism allowing privilege escalation         |
|            |                         |                          |                       | (CVE-2017-13166) * kernel: netfilter:           |
|            |                         |                          |                       | use-after-free in tcpmss_mangle_packet function |
|            |                         |                          |                       | in net/netfilter/xt_TCPMSS.c (CVE-2017-18017)   |
|            |                         |                          |                       | * kernel: Stack information leak in the EFS     |
|            |                         |                          |                       | element (CVE-2017-1000410) For more details     |
|            |                         |                          |                       | about the security issue(s), including the      |
|            |                         |                          |                       | impact, a CVSS score, and other related         |
|            |                         |                          |                       | information, refer to the CVE page(s) listed    |
|            |                         |                          |                       | in the References section. Red Hat would like   |
|            |                         |                          |                       | to thank Google Project Zero for reporting      |
|            |                         |                          |                       | CVE-2017-5754; Nick Peterson (Everdox Tech      |
|            |                         |                          |                       | LLC) and Andy Lutomirski for reporting          |
|            |                         |                          |                       | CVE-2018-8897; Mohamed Ghannam for reporting    |
|            |                         |                          |                       | CVE-2017-8824; and Armis Labs for reporting     |
|            |                         |                          |                       | CVE-2017-1000410. Bug Fix(es): These updated    |
|            |                         |                          |                       | kernel packages include also numerous bug       |
|            |                         |                          |                       | fixes. Space precludes documenting all of these |
|            |                         |                          |                       | bug fixes in this advisory. See the bug fix     |
|            |                         |                          |                       | descriptions in the related Knowledge Article:  |
|            |                         |                          |                       | https://access.redhat.com/articles/3431591      |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2018:1319 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:0008     | kernel-headers           | 2.6.32-642.4.2.el6    | The kernel packages contain the Linux kernel,   |
|            |                         |                          |                       | the core of any Linux operating system.         |
|            |                         |                          |                       | Security Fix(es): An industry-wide issue was    |
|            |                         |                          |                       | found in the way many modern microprocessor     |
|            |                         |                          |                       | designs have implemented speculative execution  |
|            |                         |                          |                       | of instructions (a commonly used performance    |
|            |                         |                          |                       | optimization). There are three primary          |
|            |                         |                          |                       | variants of the issue which differ in the way   |
|            |                         |                          |                       | the speculative execution can be exploited.     |
|            |                         |                          |                       | Note: This issue is present in hardware and     |
|            |                         |                          |                       | cannot be fully fixed via software update.      |
|            |                         |                          |                       | The updated kernel packages provide software    |
|            |                         |                          |                       | mitigation for this hardware issue at a cost    |
|            |                         |                          |                       | of potential performance penalty. Please refer  |
|            |                         |                          |                       | to References section for further information   |
|            |                         |                          |                       | about this issue and the performance            |
|            |                         |                          |                       | impact. In this update, mitigations for x86     |
|            |                         |                          |                       | (CVE-2017-5753) and x86-64 (CVE-2017-5753,      |
|            |                         |                          |                       | CVE-2017-5715, and CVE-2017-5754) architectures |
|            |                         |                          |                       | are provided. Variant CVE-2017-5753 triggers    |
|            |                         |                          |                       | the speculative execution by performing a       |
|            |                         |                          |                       | bounds-check bypass. It relies on the presence  |
|            |                         |                          |                       | of a precisely-defined instruction sequence     |
|            |                         |                          |                       | in the privileged code as well as the fact      |
|            |                         |                          |                       | that memory accesses may cause allocation       |
|            |                         |                          |                       | into the microprocessor's data cache even       |
|            |                         |                          |                       | for speculatively executed instructions         |
|            |                         |                          |                       | that never actually commit (retire). As a       |
|            |                         |                          |                       | result, an unprivileged attacker could use      |
|            |                         |                          |                       | this flaw to cross the syscall boundary and     |
|            |                         |                          |                       | read privileged memory by conducting targeted   |
|            |                         |                          |                       | cache side-channel attacks. (CVE-2017-5753,     |
|            |                         |                          |                       | Important) Variant CVE-2017-5715 triggers       |
|            |                         |                          |                       | the speculative execution by utilizing branch   |
|            |                         |                          |                       | target injection. It relies on the presence     |
|            |                         |                          |                       | of a precisely-defined instruction sequence     |
|            |                         |                          |                       | in the privileged code as well as the fact      |
|            |                         |                          |                       | that memory accesses may cause allocation       |
|            |                         |                          |                       | into the microprocessor's data cache even for   |
|            |                         |                          |                       | speculatively executed instructions that never  |
|            |                         |                          |                       | actually commit (retire). As a result, an       |
|            |                         |                          |                       | unprivileged attacker could use this flaw to    |
|            |                         |                          |                       | cross the syscall and guest/host boundaries and |
|            |                         |                          |                       | read privileged memory by conducting targeted   |
|            |                         |                          |                       | cache side-channel attacks. (CVE-2017-5715,     |
|            |                         |                          |                       | Important) Variant CVE-2017-5754 relies on      |
|            |                         |                          |                       | the fact that, on impacted microprocessors,     |
|            |                         |                          |                       | during speculative execution of instruction     |
|            |                         |                          |                       | permission faults, exception generation         |
|            |                         |                          |                       | triggered by a faulting access is suppressed    |
|            |                         |                          |                       | until the retirement of the whole instruction   |
|            |                         |                          |                       | block. In a combination with the fact that      |
|            |                         |                          |                       | memory accesses may populate the cache even     |
|            |                         |                          |                       | when the block is being dropped and never       |
|            |                         |                          |                       | committed (executed), an unprivileged local     |
|            |                         |                          |                       | attacker could use this flaw to read privileged |
|            |                         |                          |                       | (kernel space) memory by conducting targeted    |
|            |                         |                          |                       | cache side-channel attacks. (CVE-2017-5754,     |
|            |                         |                          |                       | Important) Note: CVE-2017-5754 affects          |
|            |                         |                          |                       | Intel x86-64 microprocessors. AMD x86-64        |
|            |                         |                          |                       | microprocessors are not affected by this        |
|            |                         |                          |                       | issue. Red Hat would like to thank Google       |
|            |                         |                          |                       | Project Zero for reporting these issues.        |
|            |                         |                          |                       | https://access.redhat.com/errata/RHSA-2018:0008 |
+------------+-------------------------+--------------------------+-----------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2018:2164     | kernel-headers           | 2.6.32-642.4.2.el6    | The kernel packages contain the Linux kernel,   |
|            |                         |                          |                       | the core of any Linux operating system.         |
|            |                         |                          |                       | Security Fix(es): * An industry-wide issue was  |
|            |                         |                          |                       | found in the way many modern microprocessor     |
|            |                         |                          |                       | designs have implemented speculative execution  |
|            |                         |                          |                       | of Load & Store instructions (a commonly used   |
|            |                         |                          |                       | performance optimization). It relies on the     |
|            |                         |                          |                       | presence of a precisely-defined instruction     |
|            |                         |                          |                       | sequence in the privileged code as well as the  |
|            |                         |                          |                       | fact that memory read from address to which     |
|            |                         |                          |                       | a recent memory write has occurred may see an   |
|            |                         |                          |                       | older value and subsequently cause an update    |
|            |                         |                          |                       | into the microprocessor's data cache even for   |
|            |                         |                          |                       | speculatively executed instructions that never  |
|            |                         |                          |                       | actually commit (retire). As a result, an       |
|            |                         |                          |                       | unprivileged attacker could use this flaw to    |
|            |                         |                          |                       | read privileged memory by conducting targeted   |
|            |                         |                          |                       | cache side-channel attacks. (CVE-2018-3639,     |
